"","DateTime","Date","Time","CIB-Salinity","CIE-Salinity","FBB-Salinity","FBE-Salinity","PGE-Salinity","SKB-Salinity","SKE-Salinity","WBB-Salinity","CI-Tide","FB-Tide","PG-Tide","SK-Tide","WB-Tide"
"1","2016-06-19 0:10:00",2016-06-19,"0:10:00",22.1,22.9,29.9,30.5,25,NA,NA,28,7.310997,6.131307,6.844422,7.541462,10.34037
"2","2016-06-19 0:20:00",2016-06-19,"0:20:00",22.1,23,29.9,30.5,25.1,NA,NA,27.9,7.339009,6.204398,6.934165,7.636703,10.472584
"3","2016-06-19 0:30:00",2016-06-19,"0:30:00",22.3,23,29.9,30.4,25,NA,NA,27.9,7.396666,6.281654,7.033922,7.746091,10.581861
"4","2016-06-19 0:40:00",2016-06-19,"0:40:00",22.4,23.1,29.8,30.3,25,NA,NA,28,7.482653,6.362283,7.142551,7.868638,10.66666
"5","2016-06-19 0:50:00",2016-06-19,"0:50:00",22.6,23.1,29.9,30.2,25,NA,NA,27.9,7.595773,6.445467,7.259341,8.003296,10.725614
"6","2016-06-19 1:00:00",2016-06-19,"1:00:00",22.7,23.1,29.9,30.4,25.1,NA,NA,27.9,7.734901,6.530368,7.383349,8.148943,10.757537
"7","2016-06-19 1:10:00",2016-06-19,"1:10:00",22.6,23.1,30,30.5,25,NA,NA,28,7.898123,6.616123,7.513766,8.304112,10.761428
"8","2016-06-19 1:20:00",2016-06-19,"1:20:00",22.8,23.1,30,30.5,25,NA,NA,27.9,8.084429,6.701853,7.649032,8.467985,10.736467
"9","2016-06-19 1:30:00",2016-06-19,"1:30:00",22.9,23.1,30,30.4,25,NA,NA,27.9,8.291592,6.786654,7.788117,8.638865,10.682033
"10","2016-06-19 1:40:00",2016-06-19,"1:40:00",23.1,23.3,30,30.4,25.1,NA,NA,28,8.518563,6.869603,7.92966,8.815157,10.597717
"11","2016-06-19 1:50:00",2016-06-19,"1:50:00",23.1,23.5,30,30.4,25.1,NA,NA,28,8.762763,6.949755,8.072415,8.995102,10.483349
"12","2016-06-19 10:00:00",2016-06-19,"10:00:00",20.8,23.1,29.7,30.3,NA,NA,NA,27.5,1.806722,-1.248503,-0.623412,-0.317382,2.58376
"13","2016-06-19 10:10:00",2016-06-19,"10:10:00",21.2,22.9,29.7,30.1,NA,NA,NA,27.5,1.347024,-1.337158,-0.806077,-0.574231,2.906152
"14","2016-06-19 10:20:00",2016-06-19,"10:20:00",21,22.7,29.7,30.2,NA,NA,NA,27.4,0.912235,-1.401701,-0.956783,-0.797662,3.229716
"15","2016-06-19 10:30:00",2016-06-19,"10:30:00",NA,22.6,29.8,30.2,NA,NA,NA,27.4,0.506853,-1.44224,-1.07394,-0.985164,3.554
"16","2016-06-19 10:40:00",2016-06-19,"10:40:00",NA,22.4,29.6,30.2,NA,NA,NA,27.4,0.134959,-1.459057,-1.157101,-1.135996,3.878727
"17","2016-06-19 10:50:00",2016-06-19,"10:50:00",NA,22.2,29.7,30.1,NA,NA,NA,27.4,-0.201514,-1.452588,-1.205942,-1.248655,4.203649
"18","2016-06-19 11:00:00",2016-06-19,"11:00:00",NA,22,29.7,30.1,NA,NA,NA,27.4,-0.498593,-1.42341,-1.220261,-1.322924,4.528417
"19","2016-06-19 11:10:00",2016-06-19,"11:10:00",NA,21.8,29.7,30,NA,NA,NA,27.5,-0.754836,-1.372228,-1.199731,-1.358334,4.852479
"20","2016-06-19 11:20:00",2016-06-19,"11:20:00",NA,21.6,29.5,29.9,NA,NA,NA,27.6,-0.967369,-1.29985,-1.14432,-1.354651,5.175014
"21","2016-06-19 11:30:00",2016-06-19,"11:30:00",NA,21.4,29.5,30,NA,NA,NA,27.5,-1.135365,-1.207174,-1.055115,-1.309819,5.494902
"22","2016-06-19 11:40:00",2016-06-19,"11:40:00",NA,21.2,29.5,30,21.4,NA,NA,27.6,-1.257353,-1.095169,-0.933196,-1.224592,5.810731
"23","2016-06-19 11:50:00",2016-06-19,"11:50:00",NA,21.2,29.6,29.9,21.8,NA,NA,27.6,-1.332649,-0.964857,-0.779636,-1.100164,6.120829
