"","2016-06-19","2016-06-20","2016-06-21","2016-06-22","2016-06-23","2016-06-24","2016-06-25","2016-06-26","2016-06-27","2016-06-28","2016-06-29","2016-06-30","2016-07-01","2016-07-02","2016-07-03","2016-07-04","2016-07-05","2016-07-06","2016-07-07","2016-07-08","2016-07-09","2016-07-10","2016-07-11","2016-07-12","2016-07-13","2016-07-14","2016-07-15","2016-07-16","2016-07-17","2016-07-18","2016-07-19"
"WBE.pH.mean",2.18574803832795,2.18525622248174,2.18388199134959,2.18151064658325,2.17839054746473,2.1763267268461,2.176951555184,2.17937388991913,2.17640019365682,2.17430180968296,2.17158427207159,2.17216656466203,2.17243121011119,2.17259222658355,2.17549297211375,2.17624633049517,2.17580086277651,2.17424548183096,2.17339843956949,2.17274490503542,2.17253773395998,2.17251651079232,2.17085937812188,2.17236250594407,2.17298346870537,2.17724693472575,2.17522870694515,2.17676088502386,2.1760766010193,2.17774980956736,2.17731230215565
"WBB.pH.mean",2.15740576869282,2.17982540862444,2.15539163694413,2.15633776590058,2.16622455926411,2.16632890304334,2.16133405797442,2.16534328069251,2.16054138269866,2.15699718481174,2.15248868349483,2.16249063265435,2.16351158546823,2.16156954259995,2.16526197754008,2.16639609887343,2.15385684365209,2.1534624020255,2.15225510501924,2.12321542508597,2.12417406193599,2.1375111208772,2.13035412124358,2.1097922363328,2.12134628315133,2.14957149792229,2.13694036825181,2.14216966144238,2.15598161880217,2.14044293074587,2.12864734130518
"SKE.pH.mean",NA,NA,NA,2.18022373565619,2.1398716866384,2.12292883359627,2.16115759111606,2.14898102633651,2.12331720234549,2.13496329670808,2.13628451225427,2.15216183269931,2.16700945776192,2.18556553699932,2.19204499459442,2.16998123100792,2.16585245594192,2.16883278761476,2.15353341300136,2.13243172231289,2.08164655565721,2.1124329570849,2.13326202198575,2.14865661070131,2.1326778257121,2.1418864012827,2.14320434224787,2.15537223299858,2.15707045669729,2.13295293212374,2.09868232816649
"SKB.pH.mean",NA,NA,NA,2.19755132133521,2.15552380725554,2.10946776609664,2.11412821813525,2.11637685614456,2.07270011926848,2.0668012245277,2.08573247608071,2.11200137333914,2.11630489142273,2.13132417508489,2.15317245863019,2.12858776780781,2.11904923991865,2.13446474106305,2.14109745409836,2.12794107494378,2.10273203008235,2.11191209311103,2.11762672954559,2.14799218576903,2.13598923666157,2.13944505561602,2.13522566999667,2.15224734466939,2.15373605276394,2.14820022596749,2.11187847966565
"PGB.pH.mean",2.14419956351875,2.14183424854836,2.13952226870178,2.11971084111942,2.11652883980286,2.12372530595002,2.14205298397887,2.13365290890733,2.1213879038618,2.13364033324173,2.13606306373399,2.11663491346024,2.09866189164233,2.08856644945684,2.08589695370328,2.09445865309223,2.10136539628357,2.07087743178167,2.11301418252097,2.08111672507789,2.08641895441584,2.10365978703331,2.10564892783045,2.14473290436108,2.12867803480111,2.11295354990072,2.12918723763931,2.16608701840279,2.13395301283288,2.13991909385853,NA
"CIE.pH.mean",2.19098109841438,2.19253234740768,2.18847196786315,2.19042465064526,2.18510993676719,2.17910586479278,2.17819040470311,2.18109864327202,2.1862241226464,2.17724693472575,2.18572450409323,2.17750515071313,2.17564941228083,2.17464487816978,2.16183812018111,2.17056659687829,2.164182310576,2.1569100888408,2.15235760169783,2.18205409911,2.19132858548404,2.18748595246682,2.19778769036325,2.19979072640194,2.19205193711039,2.18632433558397,2.19409800156649,2.19551769508458,2.18502603225341,2.18270229339993,2.1761453779928
"CIB.pH.mean",2.1619951656575,2.15468396962679,2.15038705098267,2.14187298912406,2.14377996657998,2.14754868769443,2.14922446557651,2.14590603966654,2.15191561526385,2.15572720047566,2.14707585185125,2.13730814569305,2.1252318189797,2.12509811177536,2.12496507168298,2.1790491967842,2.15797349335138,2.18841638554573,2.21730171218087,2.18157301236953,2.16341269311661,2.22603396783088,2.23329455816214,2.2146111316566,2.13922430596567,2.19932114343686,2.19481014229861,2.18962471194772,2.1782003137031,2.17200785789179,2.1776485910217
"FBE.pH.mean",2.17178069933247,2.17159129427948,2.1613536028939,2.16202768869185,2.17075137355083,2.17607495629463,2.17966387948154,2.17988711415284,2.18824923399119,2.19303370913745,2.19031806615043,2.19287910607672,2.18297603772988,2.18932640523716,2.19493968667827,2.19553145311831,2.18157699634317,2.16885140430855,2.17172009312166,2.18671035933757,2.18311882331196,2.18538001528779,2.19381599694306,2.1888563276657,2.19696219723856,2.1920428250483,2.19947159552548,2.1865558152151,2.18938718174444,2.18349257201729,2.18076041876578
"FBB.pH.mean",2.13510855386418,2.11998135353316,2.09843789100944,2.12004565532292,2.11679913500663,2.10247848960977,2.14374566034729,2.15774605317476,2.1716772400048,2.15075232658055,2.15459249652368,2.16583365514967,2.14765393626012,2.14877810409829,2.13688144742875,2.15264176604784,2.14219624619964,2.15493682540797,2.14501333807186,2.14980950035875,2.1420250279816,2.15720601512181,2.16540419186436,2.15151184892601,2.15657939331575,2.14777257804061,2.15333359474016,2.13805017462997,2.14058776656817,2.1374286435281,2.13117168260033
"WBE.DO.mean",2.29688921473426,2.29322395361285,2.28518861621361,2.27481916259685,2.25826532171198,2.27097156219523,2.31821438295663,2.3384383728937,2.30384991776585,2.27680021743494,2.29451767366454,2.28763315991152,2.28624114423424,2.33314460794779,2.39103418241843,2.35381333672216,2.36086173384408,2.25709435776639,2.22856819361615,2.24420534539427,2.21283443039495,2.2378373996547,2.19297025751848,2.24258063007899,2.1855177102879,2.31435898614721,2.15708577090658,2.25040324606585,2.2768125160087,2.30275695322523,2.29548854337374
