"","2016-06-19","2016-06-20","2016-06-21","2016-06-22","2016-06-23","2016-06-24","2016-06-25","2016-06-26","2016-06-27","2016-06-28","2016-06-29","2016-06-30","2016-07-01","2016-07-02","2016-07-03","2016-07-04","2016-07-05","2016-07-06","2016-07-07","2016-07-08","2016-07-09","2016-07-10","2016-07-11","2016-07-12","2016-07-13","2016-07-14","2016-07-15","2016-07-16","2016-07-17","2016-07-18","2016-07-19"
"WBE.pH.var",0.00378070443918715,0.00291497962281783,0.00299898426218019,0.00273808029260746,0.00254883927021808,0.00247775656812197,0.00274583913401959,0.00228980335107025,0.00199013555769422,0.00387112513956183,0.00359347516535396,0.00457239516676286,0.00274566847000532,0.00109920732629493,0.00225621713220224,0.0012813331775159,0.00147439422109529,0.00242873886690339,0.00145779365161629,0.0019686859488107,0.00194742275545625,0.00215853672763837,0.0039915507677126,0.00354386811367222,0.00391642879263107,0.00413192568187029,0.00265793256327417,0.00355393759328157,0.00344485965172653,0.00246929318023868,0.00246284624557312
"WBB.pH.var",0.0215124062509079,0.0038895686680055,0.0438591453239955,0.0140767527530679,0.00372302223429643,0.00162564934435803,0.00279102636288914,0.00305162749325464,0.00231828970959083,0.00860619743355318,0.0067712539976383,0.00921514187252901,0.00445741683636717,0.00261035219386992,0.0059148396838851,0.00563611203264516,0.0297042451573701,0.00644849595351214,0.01007690221029,0.000664911771182067,0.0106180239247738,0.00267863878921719,0.00586411951778419,0.00831265388138019,0.00572203997307109,0.0162084845121475,0.00822249328970067,0.0162187876442765,0.0143097554493917,0.0126969003075373,0.0056771623112359
"SKE.pH.var",NA,NA,NA,0.00199498348637484,0.119138186812937,0.0516699948671991,0.00911643646311719,0.0155487940281597,0.0151290280131025,0.00341629747068789,0.00844518289989109,0.00400682415272769,0.00462273587668978,0.0235904483131422,0.0112133025815438,0.00120777314817165,0.00414619490198788,0.00560170031079713,0.0518193584032064,0.0951208332727503,0.0137164103184711,0.0573158218080847,0.0414680328787756,0.0216944333017032,0.0290545628764877,0.0154256274763426,0.011525470402399,0.0108555132984132,0.0194361315528567,0.0581485593885166,0.0601854085532095
"SKB.pH.var",NA,NA,NA,0.00142104865544618,0.0774384805900749,0.017962410944524,0.0518594576714197,0.013973358285587,0.00682265171159726,0.00141624121779832,0.00344347681581961,0.00106551850159876,0.0110010797294317,0.0092767348761184,0.00236931003559636,0.00403025545628422,0.00225196047685762,0.00468092310677578,0.0125744568181532,0.00996402954204221,0.00503577939549519,0.0106152339608251,0.0322107394786432,0.00225617475626596,0.0141551112625276,0.00572893511373229,0.0101293793011389,0.00339176675974833,0.0112268002850627,0.0169690372545526,0.0117177380327656
"PGB.pH.var",0.00263336161367529,0.0199685722330705,0.00797790513441805,0.00615460544980533,0.0139654796407974,0.00528515493669472,0.0137190054765967,0.00180237800843383,0.00336944814743883,0.0103598264178941,0.00954620399269408,0.00765270793396834,0.00664336708216028,0.00393878451796277,0.00328607170913869,0.0114766518195447,0.0308974714779906,0.0294287321380059,0.0313226713693094,0.00360176616324541,0.00730977292678179,0.0322655858784553,0.0130187286975804,0.152339543936161,0.0563457974318653,0.039898248651063,0.0929833101252665,0.0281125580618809,0.0726450623766279,0.065941259266729,NA
"CIE.pH.var",0.0161358999414282,0.00502081180696064,0.0049925303285498,0.0105366357723445,0.00440401591218828,0.0146063543248257,0.0314299005797694,0.0168672212273309,0.0169766380749389,0.0145920092746428,0.0265160905168032,0.00437444190269412,0.00625886698811504,0.0243291872759311,0.01654737149085,0.0144822602986084,0.0130303594784648,0.0179216907601687,0.00558497471386603,0.0222872238517564,0.00977710369616836,0.0180905419800279,0.0163908031176925,0.0148933921853835,0.0102311526579203,0.0121361925948621,0.0256782173147581,0.0172366027462501,0.0265712810907888,0.0245126098488813,0.0427987417193843
"CIB.pH.var",0.00309852660503863,0.00444503774674442,0.00361346356983525,0.000701489435933297,0.00523606129009416,0.00190428891619458,0.00542061040385872,0.00399125278650545,0.00943125483931233,0.00359423230213472,0.00125441394269662,0.00179915574203678,0.00439598830016498,0.00225434410813129,0.00101890816871599,0.219353155066647,0.0342143363202239,0.115742142083091,0.017399538873347,0.0273726539171635,0.0106347796226306,0.0053733388108448,0.00224053397118003,0.057049221733063,0.00733063601274995,0.0325390958525927,0.0362952854762885,0.0272879725845468,0.0244288484607008,0.0182934579820857,0.0338480320362481
"FBE.pH.var",0.0455919151310995,0.0510436674321761,0.0647238233783697,0.0769187011178897,0.0266334371077471,0.0152099340124742,0.0201145465687297,0.0525000528429196,0.066607020613891,0.0127256578323063,0.0116912196362893,0.0039698386613903,0.0171552347533045,0.0319422769969828,0.0149331038243511,0.0098618424140536,0.0292761764961523,0.0589984769786289,0.0450879886609537,0.00741853023470716,0.0125586073561134,0.0379669951463751,0.0123806905818907,0.0508539671282301,0.017953923899627,0.0614052562047288,0.029307568108874,0.0387449219050386,0.0712829317609047,0.089251681950424,0.0373527868610202
"FBB.pH.var",0.00930684113535209,0.00459834798923056,0.00127826538966198,0.0684299428020558,0.00252002056220156,0.0309293347912611,0.0265550842590277,0.034228852708325,0.0325674834597085,0.00967645346819238,0.0208711892532552,0.010022312669972,0.0505649216172818,0.0264976733247587,0.0243406120105704,0.0502578592466573,0.0372706689949468,0.0465257276057075,0.0211892290905847,0.00817848958732091,0.0106449224106536,0.0385148128778757,0.00843837869451937,0.0243543847608363,0.0171559350303846,0.035429214492025,0.0164993686450333,0.0805807904075467,0.0722344747638096,0.0831591777555347,0.0977118141624534
"WBE.DO.var",0.385809611473958,0.332464961974572,0.362362388608551,0.424430134029012,0.584446195684859,1.04821942085505,1.41459196425453,1.28180409970292,1.42938646400113,1.6328000127869,1.91201465007499,1.67636216793346,1.504053673371,1.8490389615686,1.96191163628435,1.78181465032111,1.55152422903043,0.69355883778736,0.307495496653621,0.855391355054116,0.255999755046026,1.19259592997267,1.63472753039841,2.04349026678912,1.78424811297267,2.14868681228018,1.58704941740918,2.18289866685783,2.30202055222759,1.66296497904064,1.31758466892165
