"","CI","FB","PG","SK","WB"
"Maximum",28,24.7,36,30,25
"Minimum",12.4,11.5,12.8,11.1,11.2
"Range",15.6,13.2,23.2,18.9,13.8
"Mean",16.0789570639082,14.8194275187757,15.1495154057573,15.1341913439636,17.9651175213675
"Variance",2.83210956972653,3.07541191711676,8.37243646941685,4.95087670979063,1.73704670716992
"StandardDeviation",1.68288727184162,1.75368523889459,2.89351628117363,2.22505656327893,1.31797067765938
"Percent±2SD",2.85714285714286,3.5781041388518,2.92389853137517,1.04138851802403,5.92790387182911
"FirstQuartile",14.9,13.5,13.9,13.4,17.2
"Median",16,14.6,14.6,15.1,17.9
"ThirdQuartile",17,15.7,15.3,16.7,18.7
"IQR",2.1,2.2,1.4,3.3,1.5
"Percent±1.5IQR",1.80240320427236,2.09612817089453,5.54072096128171,0.427236315086782,4.43257676902537
