Module	Section	Sample Name	Source
Bismark	alignment	zr3644_24_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_24_PE_report.txt
Bismark	alignment	zr3644_16_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_16_PE_report.txt
Bismark	alignment	zr3644_17_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_17_PE_report.txt
Bismark	alignment	zr3644_8_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_8_PE_report.txt
Bismark	alignment	zr3644_13_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_13_PE_report.txt
Bismark	alignment	zr3644_10_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_10_PE_report.txt
Bismark	alignment	zr3644_23_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_23_PE_report.txt
Bismark	alignment	zr3644_6_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_6_PE_report.txt
Bismark	alignment	zr3644_4_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_4_PE_report.txt
Bismark	alignment	zr3644_21_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_21_PE_report.txt
Bismark	alignment	zr3644_2_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_2_PE_report.txt
Bismark	alignment	zr3644_9_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_9_PE_report.txt
Bismark	alignment	zr3644_12_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_12_PE_report.txt
Bismark	alignment	zr3644_18_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_18_PE_report.txt
Bismark	alignment	zr3644_3_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_3_PE_report.txt
Bismark	alignment	zr3644_22_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_22_PE_report.txt
Bismark	alignment	zr3644_20_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_20_PE_report.txt
Bismark	alignment	zr3644_14_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_14_PE_report.txt
Bismark	alignment	zr3644_1_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_1_PE_report.txt
Bismark	alignment	zr3644_19_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_19_PE_report.txt
Bismark	alignment	zr3644_7_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_7_PE_report.txt
Bismark	alignment	zr3644_5_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_5_PE_report.txt
Bismark	alignment	zr3644_11_PE_report	/home/shared/16TB_HDD_01/sr320/github/project-oyster-oa/analyses/Haws-10/zr3644_11_PE_report.txt
