Sample	Original bottom strand	Complementary to original bottom strand	Complementary to original top strand	Original top strand
zr3644_10_L-1-0.6_PE_report	3595.0	3690.0	3620.0	3806.0
zr3644_10_L0-0.4_PE_report	3155.0	3189.0	3140.0	3356.0
zr3644_10_L0-0.6_PE_report	3576.0	3680.0	3605.0	3792.0
zr3644_10_L0-0.8_PE_report	3835.0	3960.0	3868.0	4008.0
zr3644_10_L0-1.0_PE_report	4011.0	4178.0	4041.0	4196.0
zr3644_10_PE_report	8190202.0	8127174.0	8109007.0	8174308.0
zr3644_11_L-1-0.6_PE_report	3658.0	3694.0	3615.0	3733.0
zr3644_11_L0-0.4_PE_report	3181.0	3239.0	3131.0	3262.0
zr3644_11_L0-0.6_PE_report	3643.0	3677.0	3589.0	3708.0
zr3644_11_L0-0.8_PE_report	3925.0	3939.0	3885.0	3976.0
zr3644_11_L0-1.0_PE_report	4136.0	4113.0	4096.0	4175.0
zr3644_11_PE_report	8793786.0	8830246.0	8806145.0	8776225.0
zr3644_12_L-1-0.6_PE_report	3759.0	3753.0	3740.0	3630.0
zr3644_12_L0-0.4_PE_report	3295.0	3263.0	3301.0	3162.0
zr3644_12_L0-0.6_PE_report	3741.0	3740.0	3719.0	3622.0
zr3644_12_L0-0.8_PE_report	4034.0	4009.0	3985.0	3921.0
zr3644_12_L0-1.0_PE_report	4233.0	4200.0	4203.0	4074.0
zr3644_12_PE_report	7445352.0	7520211.0	7493486.0	7432638.0
zr3644_13_L-1-0.6_PE_report	3813.0	3724.0	3701.0	3653.0
zr3644_13_L0-0.4_PE_report	3335.0	3300.0	3215.0	3145.0
zr3644_13_L0-0.6_PE_report	3789.0	3709.0	3682.0	3641.0
zr3644_13_L0-0.8_PE_report	4061.0	4010.0	3934.0	3907.0
zr3644_13_L0-1.0_PE_report	4255.0	4205.0	4104.0	4113.0
zr3644_13_PE_report	8412434.0	8430117.0	8407185.0	8404655.0
zr3644_14_L-1-0.6_PE_report	3708.0	3876.0	3776.0	3684.0
zr3644_14_L0-0.4_PE_report	3235.0	3414.0	3305.0	3194.0
zr3644_14_L0-0.6_PE_report	3704.0	3856.0	3767.0	3659.0
zr3644_14_L0-0.8_PE_report	3949.0	4136.0	4006.0	3953.0
zr3644_14_L0-1.0_PE_report	4127.0	4313.0	4205.0	4170.0
zr3644_14_PE_report	5756482.0	5807850.0	5794524.0	5746453.0
zr3644_15_L-1-0.6_PE_report	3770.0	3754.0	3803.0	3653.0
zr3644_15_L0-0.4_PE_report	3303.0	3345.0	3318.0	3215.0
zr3644_15_L0-0.6_PE_report	3750.0	3753.0	3780.0	3630.0
zr3644_15_L0-0.8_PE_report	4041.0	3997.0	4026.0	3913.0
zr3644_15_L0-1.0_PE_report	4248.0	4173.0	4248.0	4094.0
zr3644_15_PE_report	9264672.0	9257738.0	9245832.0	9246736.0
zr3644_16_L-1-0.6_PE_report	3713.0	3783.0	3759.0	3725.0
zr3644_16_L0-0.4_PE_report	3294.0	3294.0	3329.0	3283.0
zr3644_16_L0-0.6_PE_report	3690.0	3753.0	3755.0	3708.0
zr3644_16_L0-0.8_PE_report	3975.0	4019.0	3993.0	3988.0
zr3644_16_L0-1.0_PE_report	4160.0	4200.0	4195.0	4202.0
zr3644_16_PE_report	8003653.0	8029185.0	8017160.0	7989250.0
zr3644_17_L-1-0.6_PE_report	3737.0	3733.0	3697.0	3733.0
zr3644_17_L0-0.4_PE_report	3287.0	3277.0	3251.0	3322.0
zr3644_17_L0-0.6_PE_report	3715.0	3716.0	3681.0	3717.0
zr3644_17_L0-0.8_PE_report	3945.0	3972.0	3917.0	3991.0
zr3644_17_L0-1.0_PE_report	4139.0	4163.0	4118.0	4190.0
zr3644_17_PE_report	9015738.0	9075718.0	9044440.0	8992444.0
zr3644_18_L-1-0.6_PE_report	3771.0	3768.0	3801.0	3693.0
zr3644_18_L0-0.4_PE_report	3332.0	3318.0	3289.0	3237.0
zr3644_18_L0-0.6_PE_report	3753.0	3760.0	3774.0	3686.0
zr3644_18_L0-0.8_PE_report	4009.0	4018.0	4045.0	3912.0
zr3644_18_L0-1.0_PE_report	4202.0	4253.0	4233.0	4095.0
zr3644_18_PE_report	8132027.0	8110541.0	8092160.0	8119057.0
zr3644_19_L-1-0.6_PE_report	3712.0	3777.0	3727.0	3625.0
zr3644_19_L0-0.4_PE_report	3236.0	3298.0	3250.0	3176.0
