Unknown option: input
FLAG: 1
refSeqFile = /Volumes/web/spartina/project-oyster-oa/data/Cg-roslin/cgigas_uk_roslin_v1_genomic-mito.fa.
bamFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/merged-sorted-deduplicated.bam.
snpFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/SNP-candidates.txt.
methCgFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/CpG-meth-info.tab.
methChgFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/CHG-meth-info.tab.
methChhFileName = /Volumes/web/spartina/project-oyster-oa/Haws/BS-Snper/CHH-meth-info.tab.
vQualMin = 15.
nLayerMax = 1000.
vSnpRate = 0.100000.
vSnpPerBase = 0.020000.
mapqThr = 20.
Init chrome name-len array completed, total 647905321 bp of 237 chromosomes.
237 chromes loaded.
Init chrome name-idx hash table completed.
Init chrome seq array completed.
Meth process begins...
Chrome updated to NC_047559.1!
500000 records have been dealed.
1000000 records have been dealed.
1500000 records have been dealed.
2000000 records have been dealed.
2500000 records have been dealed.
3000000 records have been dealed.
3500000 records have been dealed.
4000000 records have been dealed.
4500000 records have been dealed.
5000000 records have been dealed.
5500000 records have been dealed.
6000000 records have been dealed.
6500000 records have been dealed.
7000000 records have been dealed.
7500000 records have been dealed.
8000000 records have been dealed.
8500000 records have been dealed.
9000000 records have been dealed.
9500000 records have been dealed.
10000000 records have been dealed.
10500000 records have been dealed.
11000000 records have been dealed.
11500000 records have been dealed.
12000000 records have been dealed.
12500000 records have been dealed.
13000000 records have been dealed.
13500000 records have been dealed.
14000000 records have been dealed.
14500000 records have been dealed.
15000000 records have been dealed.
15500000 records have been dealed.
16000000 records have been dealed.
16500000 records have been dealed.
17000000 records have been dealed.
17500000 records have been dealed.
18000000 records have been dealed.
18500000 records have been dealed.
19000000 records have been dealed.
19500000 records have been dealed.
20000000 records have been dealed.
20500000 records have been dealed.
21000000 records have been dealed.
21500000 records have been dealed.
22000000 records have been dealed.
22500000 records have been dealed.
23000000 records have been dealed.
23500000 records have been dealed.
24000000 records have been dealed.
24500000 records have been dealed.
25000000 records have been dealed.
25500000 records have been dealed.
26000000 records have been dealed.
26500000 records have been dealed.
27000000 records have been dealed.
27500000 records have been dealed.
28000000 records have been dealed.
28500000 records have been dealed.
29000000 records have been dealed.
29500000 records have been dealed.
30000000 records have been dealed.
30500000 records have been dealed.
31000000 records have been dealed.
31500000 records have been dealed.
32000000 records have been dealed.
32500000 records have been dealed.
33000000 records have been dealed.
33500000 records have been dealed.
34000000 records have been dealed.
34500000 records have been dealed.
35000000 records have been dealed.
35500000 records have been dealed.
36000000 records have been dealed.
36500000 records have been dealed.
37000000 records have been dealed.
37500000 records have been dealed.
38000000 records have been dealed.
38500000 records have been dealed.
39000000 records have been dealed.
39500000 records have been dealed.
40000000 records have been dealed.
40500000 records have been dealed.
41000000 records have been dealed.
41500000 records have been dealed.
42000000 records have been dealed.
42500000 records have been dealed.
43000000 records have been dealed.
43500000 records have been dealed.
44000000 records have been dealed.
44500000 records have been dealed.
45000000 records have been dealed.
45500000 records have been dealed.
46000000 records have been dealed.
46500000 records have been dealed.
47000000 records have been dealed.
47500000 records have been dealed.
48000000 records have been dealed.
48500000 records have been dealed.
49000000 records have been dealed.
49500000 records have been dealed.
50000000 records have been dealed.
50500000 records have been dealed.
51000000 records have been dealed.
51500000 records have been dealed.
52000000 records have been dealed.
52500000 records have been dealed.
53000000 records have been dealed.
53500000 records have been dealed.
54000000 records have been dealed.
54500000 records have been dealed.
55000000 records have been dealed.
55500000 records have been dealed.
56000000 records have been dealed.
56500000 records have been dealed.
57000000 records have been dealed.
57500000 records have been dealed.
58000000 records have been dealed.
58500000 records have been dealed.
59000000 records have been dealed.
59500000 records have been dealed.
60000000 records have been dealed.
60500000 records have been dealed.
61000000 records have been dealed.
61500000 records have been dealed.
62000000 records have been dealed.
62500000 records have been dealed.
63000000 records have been dealed.
63500000 records have been dealed.
64000000 records have been dealed.
64500000 records have been dealed.
65000000 records have been dealed.
65500000 records have been dealed.
66000000 records have been dealed.
66500000 records have been dealed.
67000000 records have been dealed.
67500000 records have been dealed.
68000000 records have been dealed.
68500000 records have been dealed.
69000000 records have been dealed.
69500000 records have been dealed.
70000000 records have been dealed.
70500000 records have been dealed.
71000000 records have been dealed.
71500000 records have been dealed.
72000000 records have been dealed.
72500000 records have been dealed.
73000000 records have been dealed.
73500000 records have been dealed.
74000000 records have been dealed.
74500000 records have been dealed.
75000000 records have been dealed.
75500000 records have been dealed.
76000000 records have been dealed.
76500000 records have been dealed.
77000000 records have been dealed.
77500000 records have been dealed.
78000000 records have been dealed.
78500000 records have been dealed.
79000000 records have been dealed.
79500000 records have been dealed.
80000000 records have been dealed.
80500000 records have been dealed.
81000000 records have been dealed.
81500000 records have been dealed.
82000000 records have been dealed.
82500000 records have been dealed.
83000000 records have been dealed.
83500000 records have been dealed.
84000000 records have been dealed.
84500000 records have been dealed.
85000000 records have been dealed.
85500000 records have been dealed.
86000000 records have been dealed.
86500000 records have been dealed.
87000000 records have been dealed.
87500000 records have been dealed.
88000000 records have been dealed.
88500000 records have been dealed.
89000000 records have been dealed.
89500000 records have been dealed.
90000000 records have been dealed.
90500000 records have been dealed.
91000000 records have been dealed.
91500000 records have been dealed.
92000000 records have been dealed.
92500000 records have been dealed.
Chrome updated to NC_047560.1!
93000000 records have been dealed.
93500000 records have been dealed.
94000000 records have been dealed.
94500000 records have been dealed.
95000000 records have been dealed.
95500000 records have been dealed.
96000000 records have been dealed.
96500000 records have been dealed.
97000000 records have been dealed.
97500000 records have been dealed.
98000000 records have been dealed.
98500000 records have been dealed.
99000000 records have been dealed.
99500000 records have been dealed.
100000000 records have been dealed.
100500000 records have been dealed.
101000000 records have been dealed.
101500000 records have been dealed.
102000000 records have been dealed.
102500000 records have been dealed.
103000000 records have been dealed.
103500000 records have been dealed.
104000000 records have been dealed.
104500000 records have been dealed.
105000000 records have been dealed.
105500000 records have been dealed.
106000000 records have been dealed.
106500000 records have been dealed.
107000000 records have been dealed.
107500000 records have been dealed.
108000000 records have been dealed.
108500000 records have been dealed.
109000000 records have been dealed.
109500000 records have been dealed.
110000000 records have been dealed.
110500000 records have been dealed.
111000000 records have been dealed.
111500000 records have been dealed.
112000000 records have been dealed.
112500000 records have been dealed.
113000000 records have been dealed.
113500000 records have been dealed.
114000000 records have been dealed.
114500000 records have been dealed.
115000000 records have been dealed.
115500000 records have been dealed.
116000000 records have been dealed.
116500000 records have been dealed.
117000000 records have been dealed.
117500000 records have been dealed.
118000000 records have been dealed.
118500000 records have been dealed.
119000000 records have been dealed.
119500000 records have been dealed.
120000000 records have been dealed.
120500000 records have been dealed.
121000000 records have been dealed.
121500000 records have been dealed.
122000000 records have been dealed.
122500000 records have been dealed.
123000000 records have been dealed.
123500000 records have been dealed.
124000000 records have been dealed.
124500000 records have been dealed.
125000000 records have been dealed.
125500000 records have been dealed.
126000000 records have been dealed.
126500000 records have been dealed.
127000000 records have been dealed.
127500000 records have been dealed.
128000000 records have been dealed.
128500000 records have been dealed.
129000000 records have been dealed.
129500000 records have been dealed.
130000000 records have been dealed.
130500000 records have been dealed.
131000000 records have been dealed.
131500000 records have been dealed.
132000000 records have been dealed.
132500000 records have been dealed.
133000000 records have been dealed.
133500000 records have been dealed.
134000000 records have been dealed.
134500000 records have been dealed.
135000000 records have been dealed.
135500000 records have been dealed.
136000000 records have been dealed.
136500000 records have been dealed.
137000000 records have been dealed.
137500000 records have been dealed.
138000000 records have been dealed.
138500000 records have been dealed.
139000000 records have been dealed.
139500000 records have been dealed.
140000000 records have been dealed.
140500000 records have been dealed.
141000000 records have been dealed.
141500000 records have been dealed.
142000000 records have been dealed.
Chrome updated to NC_047561.1!
142500000 records have been dealed.
143000000 records have been dealed.
143500000 records have been dealed.
144000000 records have been dealed.
144500000 records have been dealed.
145000000 records have been dealed.
145500000 records have been dealed.
146000000 records have been dealed.
146500000 records have been dealed.
147000000 records have been dealed.
147500000 records have been dealed.
148000000 records have been dealed.
148500000 records have been dealed.
149000000 records have been dealed.
149500000 records have been dealed.
150000000 records have been dealed.
150500000 records have been dealed.
151000000 records have been dealed.
151500000 records have been dealed.
152000000 records have been dealed.
152500000 records have been dealed.
153000000 records have been dealed.
153500000 records have been dealed.
154000000 records have been dealed.
154500000 records have been dealed.
155000000 records have been dealed.
155500000 records have been dealed.
156000000 records have been dealed.
156500000 records have been dealed.
157000000 records have been dealed.
157500000 records have been dealed.
158000000 records have been dealed.
158500000 records have been dealed.
159000000 records have been dealed.
159500000 records have been dealed.
160000000 records have been dealed.
160500000 records have been dealed.
161000000 records have been dealed.
161500000 records have been dealed.
162000000 records have been dealed.
162500000 records have been dealed.
163000000 records have been dealed.
163500000 records have been dealed.
164000000 records have been dealed.
164500000 records have been dealed.
165000000 records have been dealed.
165500000 records have been dealed.
166000000 records have been dealed.
166500000 records have been dealed.
167000000 records have been dealed.
167500000 records have been dealed.
168000000 records have been dealed.
168500000 records have been dealed.
169000000 records have been dealed.
169500000 records have been dealed.
170000000 records have been dealed.
170500000 records have been dealed.
171000000 records have been dealed.
171500000 records have been dealed.
172000000 records have been dealed.
172500000 records have been dealed.
173000000 records have been dealed.
173500000 records have been dealed.
174000000 records have been dealed.
174500000 records have been dealed.
175000000 records have been dealed.
175500000 records have been dealed.
176000000 records have been dealed.
176500000 records have been dealed.
177000000 records have been dealed.
177500000 records have been dealed.
178000000 records have been dealed.
178500000 records have been dealed.
179000000 records have been dealed.
179500000 records have been dealed.
180000000 records have been dealed.
180500000 records have been dealed.
181000000 records have been dealed.
181500000 records have been dealed.
182000000 records have been dealed.
182500000 records have been dealed.
183000000 records have been dealed.
183500000 records have been dealed.
184000000 records have been dealed.
184500000 records have been dealed.
185000000 records have been dealed.
185500000 records have been dealed.
186000000 records have been dealed.
186500000 records have been dealed.
187000000 records have been dealed.
187500000 records have been dealed.
188000000 records have been dealed.
188500000 records have been dealed.
189000000 records have been dealed.
189500000 records have been dealed.
190000000 records have been dealed.
190500000 records have been dealed.
191000000 records have been dealed.
191500000 records have been dealed.
192000000 records have been dealed.
192500000 records have been dealed.
193000000 records have been dealed.
193500000 records have been dealed.
194000000 records have been dealed.
194500000 records have been dealed.
195000000 records have been dealed.
195500000 records have been dealed.
196000000 records have been dealed.
196500000 records have been dealed.
197000000 records have been dealed.
197500000 records have been dealed.
198000000 records have been dealed.
198500000 records have been dealed.
199000000 records have been dealed.
199500000 records have been dealed.
200000000 records have been dealed.
200500000 records have been dealed.
201000000 records have been dealed.
201500000 records have been dealed.
202000000 records have been dealed.
202500000 records have been dealed.
203000000 records have been dealed.
203500000 records have been dealed.
204000000 records have been dealed.
204500000 records have been dealed.
205000000 records have been dealed.
205500000 records have been dealed.
206000000 records have been dealed.
206500000 records have been dealed.
207000000 records have been dealed.
207500000 records have been dealed.
208000000 records have been dealed.
208500000 records have been dealed.
209000000 records have been dealed.
209500000 records have been dealed.
210000000 records have been dealed.
210500000 records have been dealed.
211000000 records have been dealed.
211500000 records have been dealed.
212000000 records have been dealed.
212500000 records have been dealed.
213000000 records have been dealed.
213500000 records have been dealed.
214000000 records have been dealed.
214500000 records have been dealed.
215000000 records have been dealed.
215500000 records have been dealed.
216000000 records have been dealed.
