Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3644_10_R1_val_1	0.5861756943293149					
zr3644_10_R1_val_1_val_1		17.649272257286285	18.0	104.83169879290895	18.181818181818183	52562481.0
zr3644_10_R2_val_2	0.6360830830689801					
zr3644_10_R2_val_2_val_2		17.823989310205874	19.0	104.76197019695475	27.27272727272727	52562481.0
zr3644_11_R1_val_1	0.5901899550431636					
zr3644_11_R1_val_1_val_1		18.342958058504905	18.0	104.77550983096054	18.181818181818183	56774259.0
zr3644_11_R2_val_2	0.6335541232231323					
zr3644_11_R2_val_2_val_2		18.087566289156314	18.0	104.71295546103032	27.27272727272727	56774259.0
zr3644_12_R1_val_1	0.5695082703018237					
zr3644_12_R1_val_1_val_1		17.224592245816154	18.0	104.97954726925218	18.181818181818183	47649823.0
zr3644_12_R2_val_2	0.6199947482034776					
zr3644_12_R2_val_2_val_2		17.12629734593429	18.0	104.9114403635875	27.27272727272727	47649823.0
zr3644_13_R1_val_1	0.5834190858029151					
zr3644_13_R1_val_1_val_1		17.46250156752815	18.0	105.71788808972286	18.181818181818183	53883255.0
zr3644_13_R2_val_2	0.6315853516186256					
zr3644_13_R2_val_2_val_2		18.036352030309573	18.0	105.66193215313366	27.27272727272727	53883255.0
zr3644_14_R1_val_1	0.6356758772598141					
zr3644_14_R1_val_1_val_1		15.580426496981048	18.0	104.96870710612856	18.181818181818183	36852584.0
zr3644_14_R2_val_2	0.6022504628970108					
zr3644_14_R2_val_2_val_2		16.514669570254128	19.0	105.02060023796432	27.27272727272727	36852584.0
zr3644_15_R1_val_1	0.5897982112784352					
zr3644_15_R1_val_1_val_1		18.343332011051388	18.0	105.25046358502846	18.181818181818183	59105662.0
zr3644_15_R2_val_2	0.621452168254383					
zr3644_15_R2_val_2_val_2		18.340134130986385	18.0	105.22852544989684	27.27272727272727	59105662.0
zr3644_16_R1_val_1	0.6073042525247773					
zr3644_16_R1_val_1_val_1		18.86078146156966	19.0	103.46839901361565	18.181818181818183	51584355.0
zr3644_16_R2_val_2	0.6316963109857912					
zr3644_16_R2_val_2_val_2		18.895207836744106	19.0	103.44650000954746	27.27272727272727	51584355.0
zr3644_17_R1_val_1	0.5792803595766004					
zr3644_17_R1_val_1_val_1		19.52801582339393	19.0	104.51996581841098	18.181818181818183	58274646.0
zr3644_17_R2_val_2	0.6227815812953356					
zr3644_17_R2_val_2_val_2		20.430677959146777	19.0	104.4757925771012	27.27272727272727	58274646.0
zr3644_18_R1_val_1	0.5848669463873188					
zr3644_18_R1_val_1_val_1		17.924768888426883	18.0	104.57417052739167	18.181818181818183	51684377.0
zr3644_18_R2_val_2	0.6262385288436536					
zr3644_18_R2_val_2_val_2		17.658204265371708	19.0	104.52689705440389	27.27272727272727	51684377.0
zr3644_19_R1_val_1	0.5890404094933818					
zr3644_19_R1_val_1_val_1		17.005562257360822	18.0	104.79855665229927	18.181818181818183	49333920.0
zr3644_19_R2_val_2	0.6355757885001251					
zr3644_19_R2_val_2_val_2		16.952756655241757	19.0	104.73369807223914	27.27272727272727	49333920.0
zr3644_1_R1_val_1	0.5776273160916984					
zr3644_1_R1_val_1_val_1		20.039063129214313	19.0	104.29199060402759	18.181818181818183	51916287.0
zr3644_1_R2_val_2	0.6675244542149306					
zr3644_1_R2_val_2_val_2		19.07568394120716	19.0	104.1962629184171	27.27272727272727	51916287.0
zr3644_20_R1_val_1	0.6985535960742961					
zr3644_20_R1_val_1_val_1		16.170992869071185	18.0	105.52882158855599	18.181818181818183	54059234.0
zr3644_20_R2_val_2	0.592263532947781					
zr3644_20_R2_val_2_val_2		18.80959305257838	18.0	105.6671287647176	27.27272727272727	54059234.0
zr3644_21_R1_val_1	0.6147146616399382					
zr3644_21_R1_val_1_val_1		17.061099761498355	18.0	105.36351845445289	18.181818181818183	51084771.0
zr3644_21_R2_val_2	0.622598427413601					
zr3644_21_R2_val_2_val_2		17.747507453646534	18.0	105.36614193689935	27.27272727272727	51084771.0
zr3644_22_R1_val_1	0.5817929668271993					
zr3644_22_R1_val_1_val_1		17.980852010123	18.0	105.02852954177214	18.181818181818183	47698628.0
zr3644_22_R2_val_2	0.6300976714919687					
zr3644_22_R2_val_2_val_2		18.011213082258976	19.0	104.96000325208516	27.27272727272727	47698628.0
zr3644_23_R1_val_1	0.5844707676088386					
zr3644_23_R1_val_1_val_1		16.230686673376525	18.0	104.48514890707001	18.181818181818183	40515907.0
zr3644_23_R2_val_2	0.6295545084451398					
zr3644_23_R2_val_2_val_2		17.003445507060462	19.0	104.42831236630097	27.27272727272727	40515907.0
zr3644_24_R1_val_1	0.5903313482554498					
zr3644_24_R1_val_1_val_1		17.543808193902706	18.0	105.17356470539971	18.181818181818183	52894890.0
zr3644_24_R2_val_2	0.6214907095913216					
zr3644_24_R2_val_2_val_2		18.48272073651522	18.0	105.1427626751847	27.27272727272727	52894890.0
zr3644_2_R1_val_1	0.5781153928223461					
zr3644_2_R1_val_1_val_1		19.69661794409575	18.0	106.23301351326066	18.181818181818183	55636387.0
