Module	Section	Sample Name	Source
Cutadapt	all_sections	zr3644_17_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/slurm-788394.out
Cutadapt	all_sections	zr3644_7_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/slurm-788394.out
Cutadapt	all_sections	zr3644_15_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/slurm-788394.out
Cutadapt	all_sections	zr3644_1_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_1_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_1_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_1_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_2_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_2_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_2_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_2_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_3_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_3_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_3_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_3_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_4_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_4_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_4_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_4_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_5_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_5_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_5_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_5_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_6_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_6_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_6_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_6_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_7_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_7_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_8_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_8_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_8_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_8_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_9_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_9_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_9_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_9_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_10_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_10_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_10_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_10_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_11_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_11_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_11_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_11_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_12_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_12_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_12_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_12_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_13_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_13_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_13_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_13_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_14_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_14_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_14_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_14_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_15_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_15_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_16_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_16_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_16_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_16_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_17_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_17_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_18_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_18_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_18_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_18_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_19_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_19_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_19_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_19_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_20_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_20_R1_val_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_20_R2_val_2	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_20_R2_val_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	zr3644_21_R1_val_1	/gscratch/scrubbed/yaaminiv/Hawes/analyses/trimgalore-2/zr3644_21_R1_val_1.fq.gz_trimming_report.txt
