Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
zr3644_10_R1_val_1	52592877	22973068	5572077675	6744016	5539415510	0.5861756943293149
zr3644_10_R2_val_2	52592877	23007562	5570349840	9621008	5534917787	0.6360830830689801
zr3644_11_R1_val_1	56807549	24870380	6015552738	7496241	5980049550	0.5901899550431636
zr3644_11_R2_val_2	56807549	24841448	6013778082	10231800	5975677543	0.6335541232231323
zr3644_12_R1_val_1	47672940	20907864	5057370806	5436445	5028568661	0.5695082703018237
zr3644_12_R2_val_2	47672940	20886033	5056045086	8049156	5024697872	0.6199947482034776
zr3644_13_R1_val_1	53911566	23651701	5759871046	6988047	5726266859	0.5834190858029151
zr3644_13_R2_val_2	53911566	23665801	5758774314	9848920	5722402739	0.6315853516186256
zr3644_14_R1_val_1	36871756	16142874	3913478219	6690699	3888601182	0.6356758772598141
zr3644_14_R2_val_2	36871756	16076590	3913759881	5533727	3890189244	0.6022504628970108
zr3644_15_R1_val_1	59137561	25905284	6290652174	7940179	6253550020	0.5897982112784352
zr3644_15_R2_val_2	59137561	25893265	6290547044	10043561	6251454303	0.621452168254383
zr3644_16_R1_val_1	51615953	22358370	5398887438	7587870	5366099765	0.6073042525247773
zr3644_16_R2_val_2	51615953	22307149	5398402113	9050977	5364300606	0.6316963109857912
zr3644_17_R1_val_1	58307693	25412767	6158828348	7031454	6123151465	0.5792803595766004
zr3644_17_R2_val_2	58307693	25366685	6158132185	9852766	6119780472	0.6227815812953356
zr3644_18_R1_val_1	51713176	22562188	5465399814	6523423	5433434497	0.5848669463873188
zr3644_18_R2_val_2	51713176	22554093	5464527560	8896205	5430306583	0.6262385288436536
zr3644_19_R1_val_1	49363404	21587602	5228373046	6488759	5197575816	0.5890404094933818
zr3644_19_R2_val_2	49363404	21525774	5226810807	9035389	5193590463	0.6355757885001251
zr3644_1_R1_val_1	51950473	22538617	5475353592	6215557	5443726454	0.5776273160916984
zr3644_1_R2_val_2	51950473	22677249	5474149564	11112152	5437608277	0.6675244542149306
zr3644_20_R1_val_1	54084897	23814058	5774617900	13543407	5734279099	0.6985535960742961
zr3644_20_R2_val_2	54084897	23535860	5775645485	7729128	5741438443	0.592263532947781
zr3644_21_R1_val_1	51112555	22461462	5444180217	8179226	5410714043	0.6147146616399382
zr3644_21_R2_val_2	51112555	22379133	5444089562	8820277	5410194746	0.622598427413601
zr3644_22_R1_val_1	47725182	20805835	5065667631	6033168	5036195933	0.5817929668271993
zr3644_22_R2_val_2	47725182	20746534	5064153931	8600269	5032244815	0.6300976714919687
zr3644_23_R1_val_1	40539021	17674203	4280801776	5104755	4255781741	0.5844707676088386
zr3644_23_R2_val_2	40539021	17635972	4279858954	7142575	4252914909	0.6295545084451398
zr3644_24_R1_val_1	52922544	23174909	5625540317	7113215	5592330989	0.5903313482554498
zr3644_24_R2_val_2	52922544	23136470	5624990440	8998238	5590031647	0.6214907095913216
zr3644_2_R1_val_1	55664369	24412986	5975803867	7086800	5941256825	0.5781153928223461
zr3644_2_R2_val_2	55664369	24450667	5972628915	10635459	5934603445	0.6366621891492483
zr3644_3_R1_val_1	39446621	17287588	4198659045	5258040	4173950912	0.588476766872124
zr3644_3_R2_val_2	39446621	17252522	4198098999	7062296	4171657724	0.6298392440554259
zr3644_4_R1_val_1	50012460	21979123	5318299419	8005212	5285592524	0.6149878452339917
zr3644_4_R2_val_2	50012460	21882879	5316873875	7825202	5284547154	0.6080024044203982
zr3644_5_R1_val_1	44694095	19627250	4764654231	8509712	4734049862	0.6423208803039794
zr3644_5_R2_val_2	44694095	19510418	4765186193	7003157	4736283447	0.6065396991718346
zr3644_6_R1_val_1	54032664	23593118	5745290893	7309874	5711425985	0.5894376565207627
zr3644_6_R2_val_2	54032664	23564542	5744903513	9195296	5709275896	0.6201604068611274
zr3644_7_R1_val_1	82575967	36222656	8807444499	10576903	8756123651	0.5826985115356331
zr3644_7_R2_val_2	82575967	36247525	8804136896	16290671	8747217431	0.6465081776029666
zr3644_8_R1_val_1	42944059	18771452	4553628990	5628517	4526859091	0.5878805466758064
zr3644_8_R2_val_2	42944059	18798887	4552516502	8191924	4523218672	0.6435524173746312
zr3644_9_R1_val_1	48759846	21011128	5064756755	6267373	5034775359	0.5919612224299211
zr3644_9_R2_val_2	48759846	21069884	5063886112	8852793	5031356233	0.6423896248952607
