"","Treatment","Date","averageAlkalinity","standardError"
"1","Experiment","2/20/17",2332.35584333333,31.0511196346837
"2","Control","2/20/17",2307.41069333333,25.4494991951717
"3","Experiment","3/20/17",2917.59967666667,18.3571014101364
"4","Control","3/20/17",2747.00170666667,21.1316304923055
"5","Experiment","4/4/17",2808.38970333333,12.2421974294215
"6","Control","4/4/17",2611.40209,31.009415218659
