tank,date,totalAlkalinity
T1,2/20/17,2367.78791
T2,2/20/17,2319.3936
T3,2/20/17,2309.88602
T4,2/20/17,2287.72108
T5,2/20/17,2336.14773
T6,2/20/17,2298.36327
T1,3/20/17,2930.29308
T2,3/20/17,2925.95472
T3,3/20/17,2896.55123
T4,3/20/17,2769.72514
T5,3/20/17,2743.33934
T6,3/20/17,2727.94064
T1,4/4/17,2801.77913
T2,4/4/17,2822.51611
T3,4/4/17,2800.87387
T4,4/4/17,2584.60933
T5,4/4/17,2645.37017
T6,4/4/17,2604.22677
