"","Day","Treatment","averagepH","standardError"
"1",2,"Experiment",-27.8666666666667,0.635085296108589
"2",2,"Control",-54.4333333333333,0.251661147842359
"3",5,"Experiment",-28.5,0.100000000000001
"4",5,"Control",-56.6333333333333,0.152752523165193
"5",7,"Experiment",-28.8,0.360555127546399
"6",7,"Control",-56.4,0.692820323027548
"7",12,"Experiment",-29.7333333333333,0.30550504633039
"8",12,"Control",-57.7666666666667,0.611010092660777
"9",14,"Experiment",-32.6,1.64620776331543
"10",14,"Control",-59.1666666666667,0.950438495292216
"11",19,"Experiment",-29.9033333333333,0.334863156129982
"12",19,"Control",-59.8666666666667,0.305505046330391
"13",21,"Experiment",-33.4666666666667,0.461880215351699
"14",21,"Control",-60.6333333333333,0.208166599946613
"15",26,"Experiment",-31.9666666666667,0.450924975282289
"16",26,"Control",-57.0666666666667,0.288675134594813
"17",28,"Experiment",-30.9333333333333,0.750555349946514
"18",28,"Control",-59.5666666666667,0.208166599946612
"19",33,"Experiment",-31.6666666666667,0.30550504633039
"20",33,"Control",-60.5,0.264575131106459
"21",36,"Experiment",-32.8,0.346410161513776
"22",36,"Control",-60.4333333333333,1.19303534454488
"23",42,"Experiment",-33.2333333333333,1.36137185711081
"24",42,"Control",-57,1.96977156035922
"25",44,"Experiment",-32.9666666666667,0.568624070307734
"26",44,"Control",-60.7,2.98161030317511
"27",48,"Experiment",-30.2,0.264575131106459
"28",48,"Control",-60.7333333333333,0.907377172587745
"29",52,"Experiment",-42.0333333333333,3.84751001731423
"30",52,"Control",-56.6,0.91651513899117
