Date,Measurement,mVTris,TTris
2017-03-31,1,-92.2,15.65
2017-03-31,2,-95.1,12.97
2017-03-31,3,-96.9,11.25
2017-03-31,4,-99.2,9.74
2017-03-31,5,-100.2,9.32
