Date,Measurement,mVTris,TTris
2017-03-29,1,-91.8,16.67
2017-03-29,2,-93.1,14.23
2017-03-29,3,-96.7,12.68
2017-03-29,4,-99.6,10.61
2017-03-29,5,-99.9,9.77
