Date,Measurement,mVTris,TTris
2017-03-23,1,-96,14.93
2017-03-23,2,-97.1,13.21
2017-03-23,3,-99.6,10.97
2017-03-23,4,-100.8,10.86
2017-03-23,5,-101.5,10.19
