Date,Measurement,mVTris,TTris
2017-03-06,1,-97.7,13.24
2017-03-06,2,-98.6,12.3
2017-03-06,3,-98.9,12.21
2017-03-06,4,-99.2,11.95
2017-03-06,5,-99.7,11.59
