Date,Measurement,mVTris,TTris
2017-02-17,1,-93.7,13.7
2017-02-17,2,-94,13.38
2017-02-17,3,-95.1,12.37
2017-02-17,4,-95.8,11.77
2017-02-17,5,-96.9,10.82
2017-02-17,6,-97.6,10.29
