Date,Measurement,mVTris,Ttris
2017-02-20,1,-96.1,12.33
2017-02-20,2,-97.4,11.35
2017-02-20,3,-98.4,10.81
2017-02-20,4,-98.8,10.5
2017-02-20,5,-100.3,9.63
