Date,Measurement,mVTris,TTris
2017-03-13,1,-95.7,14.06
2017-03-13,2,-95.9,13.54
2017-03-13,3,-96.8,12.58
2017-03-13,4,-98,12.08
2017-03-13,5,-99,11.01
