Date,Measurement,mVTris,TTris
2017-02-27,1,-95.3,14.74
2017-02-27,2,-96.1,13.81
2017-02-27,3,-98.4,9.3
2017-02-27,4,-98.6,10.72
2017-02-27,5,-99,9.88
