Date,Measurement,mVTris,TTris
2017-04-08,1,-95.4,13.94
2017-04-08,2,-97.9,12.53
2017-04-08,3,-99.1,11.7
2017-04-08,4,-100.5,10.68
2017-04-08,5,-101.9,9.8
