Date,Measurement,mVTris,TTris
2017-03-08,1,-89.6,19.36
2017-03-08,2,-90.3,18.26
2017-03-08,3,-93.5,16.22
2017-03-08,4,-101.2,10.38
2017-03-08,5,-100.6,11.5
