Date,Measurement,mVTris,TTris
2017-02-22,1,-96,13.83
2017-02-22,2,-96.6,12.96
2017-02-22,3,-100.2,10.42
2017-02-22,4,-100.9,9.75
2017-02-22,5,-102.1,9.38
