Date,Measurement,mVTris,TTris
2017-03-15,1,-88.5,18.76
2017-03-15,2,-90.1,17.68
2017-03-15,3,-92.2,16.45
2017-03-15,4,-92.6,15.77
2017-03-15,5,-94.6,14.47
2017-03-15,6,-100.1,9.88
