Date,Measurement,mVTris,TTris
2017-03-20,1,-89.5,19.22
2017-03-20,2,-91.7,17.66
2017-03-20,3,-92.8,16.72
2017-03-20,4,-94.5,15.36
2017-03-20,5,-96.6,13.9
2017-03-20,6,-99.4,11.87
2017-03-20,7,-105,7.4
2017-03-20,8,-103.4,9.51
2017-03-20,9,-102.1,10.34
2017-03-20,10,-101,11.3
