Date,Measurement,mVTris,TTris
2017-04-04,1,-92,17.22
2017-04-04,2,-93.8,15.79
2017-04-04,3,-95.5,15.1
2017-04-04,4,-97.5,12.97
2017-04-04,5,-99,11.65
2017-04-04,6,-102.4,9.21
2017-04-04,7,-98.7,12.45
2017-04-04,8,-100.7,11.42
2017-04-04,9,-100.6,10.51
