Date,Measurement,mVTris,TTris
2017-03-01,1,-96.1,14.86
2017-03-01,2,-96.6,13.82
2017-03-01,3,-98.9,11.45
2017-03-01,4,-100.9,10.96
2017-03-01,5,-103.3,8.92
