Protein,Peptide,Transition
CHOYP_BRAFLDRAFT_119799.1.1|m.23765,,
CHOYP_BRAFLDRAFT_91636.1.11|m.28449,,
CHOYP_CAT.1.1|m.57038,,
CHOYP_CATA.2.3|m.18454,,
CHOYP_DNJA2.2.2|m.51791,,
CHOYP_G6PD.2.2|m.46923,,
CHOYP_GPX4-A.1.1|m.257,,
CHOYP_HSPA12A.10.27|m.35252,,
CHOYP_HSPA12A.19.27|m.54978,,
CHOYP_HYOU1.2.3|m.12568,,
CHOYP_LOC100150876.1.1|m.61100,,
CHOYP_LOC100371830.4.6|m.25343,,
CHOYP_LOC100377195.2.2|m.61720,,
CHOYP_LOC101169658.1.3|m.18820,,
CHOYP_LOC576041.1.1|m.28220,,
CHOYP_MANL.8.9|m.48353,,
CHOYP_MRP1.5.10|m.34368,,
