"","protein","bareCaseInlet","bareFidalgoBay","barePortGamble","bareSkokomishRiver","bareWillapaBay","eelgrassCaseInlet","eelgrassFidalgoBay","eelgrassPortGamble","eelgrassSkokomishRiver","eelgrassWillapaBay","adj.pvalue","goterm"
"1","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.816885975,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"2","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.892036612,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"3","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.524336746,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"4","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.975699021,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"5","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.804638109,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"6","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.97204678,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"7","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.887293412,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"8","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.853717165,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"9","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.909521558,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
"10","CHOYP_ACAA2.1.1|m.30666",3761664.93181818,2229202.10810811,3404964.41025641,5124282.70454545,3378240.95555556,4012338.45454545,3933395.84,3917928.5,13010774.8,3901193.275,0.290235265,"GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109"
