Date,Day,Tank,mV,Tin
2017-03-15,28,3,-30.5,11.02
2017-03-15,28,2,-30.5,11.52
2017-03-15,28,1,-31.8,11.35
2017-03-15,28,H2,-31.5,11.61
2017-03-15,28,4,-59.5,12
2017-03-15,28,5,-59.8,11.99
2017-03-15,28,6,-59.4,12.06
2017-03-15,28,H1,-60.7,11.86
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
