Date,Day,Tank,mV,Tin
3/31/17,44,H1,-33.4,10.66
3/31/17,44,3,-33.6,11.23
3/31/17,44,1,-32.5,11.45
3/31/17,44,2,-32.8,11.68
3/31/17,44,4,-57.5,11.88
3/31/17,44,5,-61.2,11.88
3/31/17,44,H2,-61.9,12.02
3/31/17,44,6,-63.4,11.78
