Date,Day,Tank,mV,Tin
2017-03-13,26,H2,-35,13.94
2017-03-13,26,2,-32,13.98
2017-03-13,26,3,-31.5,14.02
2017-03-13,26,1,-32.4,14.12
2017-03-13,26,H1,-54.4,14.16
2017-03-13,26,4,-56.9,14.19
2017-03-13,26,6,-57.4,14.23
2017-03-13,26,5,-56.9,14.28
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
