Date,Day,Tank,mV,Tin
3/29/17,42,4,-56.4,10.76
3/29/17,42,2,-34.3,10.96
3/29/17,42,H1,-34.9,11.08
3/29/17,42,6,-55.4,11.43
3/29/17,42,3,-33.7,11.6
3/29/17,42,1,-31.7,11.71
3/29/17,42,H2,-54.7,11.72
3/29/17,42,5,-59.2,11.84
