GOID,Freq
GO:0000045,6
GO:0000077,9
GO:0000086,68
GO:0000122,13
GO:0000165,71
GO:0000183,8
GO:0000209,7
GO:0000226,2
GO:0000381,10
GO:0000398,7
GO:0000422,2
GO:0000447,1
GO:0000462,1
GO:0000472,1
GO:0000480,1
GO:0000904,1
GO:0001525,5
GO:0001541,2
GO:0001657,3
GO:0001658,2
GO:0001666,5
GO:0001701,13
GO:0001702,2
GO:0001707,3
GO:0001736,1
GO:0001737,2
GO:0001756,3
GO:0001889,3
GO:0001937,9
GO:0001947,3
GO:0002076,3
GO:0002098,1
GO:0002165,10
GO:0002218,8
GO:0002223,10
GO:0002230,8
GO:0002244,10
GO:0002520,3
GO:0005977,4
GO:0005978,4
GO:0006000,1
GO:0006003,1
GO:0006006,1
GO:0006027,1
GO:0006029,1
GO:0006086,4
GO:0006094,1
GO:0006096,4
GO:0006099,1
GO:0006260,12
GO:0006270,1
GO:0006281,4
GO:0006283,14
GO:0006302,12
GO:0006308,5
GO:0006325,10
GO:0006342,2
GO:0006351,32
GO:0006355,24
GO:0006364,1
GO:0006396,1
GO:0006406,3
GO:0006409,3
GO:0006413,1
GO:0006468,5
GO:0006470,9
GO:0006476,8
GO:0006606,1
GO:0006810,75
GO:0006855,3
GO:0006879,2
GO:0006898,6
GO:0006913,3
GO:0006915,12
GO:0006919,3
GO:0006955,3
GO:0006974,6
GO:0006996,1
GO:0006997,12
GO:0007005,26
GO:0007016,5
GO:0007018,73
GO:0007020,68
GO:0007030,38
GO:0007049,25
GO:0007050,3
GO:0007052,4
GO:0007077,6
GO:0007155,12
GO:0007156,10
GO:0007157,1
GO:0007160,1
GO:0007164,1
GO:0007165,119
GO:0007179,8
GO:0007183,10
GO:0007186,3
GO:0007187,3
GO:0007194,68
GO:0007202,5
GO:0007214,3
GO:0007224,8
GO:0007225,16
GO:0007264,4
GO:0007268,75
GO:0007283,15
GO:0007338,5
GO:0007368,8
GO:0007389,8
GO:0007399,64
GO:0007405,8
GO:0007411,10
GO:0007420,2
GO:0007446,1
GO:0007447,1
GO:0007476,1
GO:0007492,5
GO:0007498,2
GO:0007568,8
GO:0007596,1
GO:0007605,1
GO:0007612,3
GO:0008283,3
GO:0008285,7
GO:0008286,3
GO:0008361,1
GO:0008589,2
GO:0008631,5
GO:0009267,4
GO:0009566,3
GO:0009611,2
GO:0009744,4
GO:0009749,1
GO:0009880,11
GO:0009888,1
GO:0009953,8
GO:0010040,2
GO:0010389,1
GO:0010390,12
GO:0010468,2
GO:0010469,5
GO:0010575,1
GO:0010596,9
GO:0010614,2
GO:0010629,11
GO:0010640,1
GO:0010694,3
GO:0010718,10
GO:0010765,6
GO:0010817,8
GO:0010827,3
GO:0010842,9
GO:0010862,4
GO:0010906,10
GO:0010971,8
GO:0010972,1
GO:0014033,2
GO:0014068,1
GO:0015031,67
GO:0015833,8
GO:0016032,3
GO:0016042,4
GO:0016064,5
GO:0016202,3
GO:0016246,1
GO:0016318,2
GO:0016336,2
GO:0016337,1
GO:0016339,1
GO:0016458,10
GO:0016525,9
GO:0016567,14
GO:0016569,2
GO:0016571,2
GO:0016572,10
GO:0016573,20
GO:0016575,16
GO:0016579,4
GO:0016925,3
GO:0017015,5
GO:0018105,7
GO:0018107,5
GO:0018149,1
GO:0019049,3
GO:0019083,3
GO:0019369,2
GO:0019725,4
GO:0019915,2
GO:0030097,10
GO:0030100,12
GO:0030154,4
GO:0030168,5
GO:0030178,1
GO:0030194,1
GO:0030200,1
GO:0030261,1
GO:0030308,5
GO:0030326,2
GO:0030335,3
GO:0030501,3
GO:0030509,4
GO:0030511,2
GO:0030513,2
GO:0030837,10
GO:0030878,3
GO:0031032,4
GO:0031048,1
GO:0031145,6
GO:0031175,18
GO:0031290,18
GO:0031507,2
GO:0031572,6
GO:0031937,16
GO:0032079,5
GO:0032091,5
GO:0032098,3
GO:0032147,7
GO:0032332,3
GO:0032355,2
GO:0032436,1
GO:0032496,2
GO:0032516,2
GO:0032525,2
GO:0032613,5
GO:0032615,5
GO:0032731,3
GO:0032880,1
GO:0032909,5
GO:0032916,3
GO:0032930,5
GO:0032956,5
GO:0033137,6
GO:0033138,68
GO:0033314,4
GO:0033564,2
GO:0033686,4
GO:0033689,3
GO:0033690,1
GO:0034351,5
GO:0034389,2
GO:0034613,9
GO:0034771,2
GO:0034775,3
GO:0035019,12
GO:0035067,2
GO:0035159,1
GO:0035207,20
GO:0035209,1
GO:0035220,1
GO:0035222,10
GO:0035234,1
GO:0035307,5
GO:0040008,1
GO:0042067,2
GO:0042100,5
GO:0042110,3
GO:0042118,2
GO:0042119,5
GO:0042127,2
GO:0042136,4
GO:0042177,3
GO:0042307,5
GO:0042493,9
GO:0042692,12
GO:0042733,2
GO:0042742,5
GO:0042754,8
GO:0042787,7
GO:0042908,3
GO:0042993,3
GO:0043065,3
GO:0043066,11
GO:0043161,6
GO:0043312,6
GO:0043407,5
GO:0043473,1
GO:0043486,10
GO:0043488,5
GO:0043523,4
GO:0043524,1
GO:0043525,2
GO:0043542,9
GO:0043547,26
GO:0043619,16
GO:0045071,1
GO:0045198,2
GO:0045216,3
GO:0045317,2
GO:0045429,3
GO:0045444,2
GO:0045570,1
GO:0045571,1
GO:0045599,3
GO:0045668,3
GO:0045727,1
GO:0045740,3
GO:0045747,10
GO:0045760,2
GO:0045819,4
GO:0045892,12
GO:0045893,2
GO:0045926,1
GO:0045930,3
GO:0045944,13
GO:0046620,1
GO:0046627,5
GO:0046822,3
GO:0046881,4
GO:0047497,4
GO:0048105,1
GO:0048340,3
GO:0048477,10
GO:0048511,8
GO:0048589,5
GO:0048617,3
GO:0048663,2
GO:0048681,3
GO:0048701,3
GO:0048704,2
GO:0048733,2
GO:0048813,20
GO:0048839,5
GO:0048842,4
GO:0048859,2
GO:0050678,3
GO:0050728,8
GO:0050732,5
GO:0050776,3
GO:0050821,8
GO:0050892,5
GO:0050927,3
GO:0050965,2
GO:0050966,2
GO:0050995,2
GO:0051017,2
GO:0051045,1
GO:0051056,20
GO:0051098,5
GO:0051301,7
GO:0051436,6
GO:0051437,6
GO:0051439,6
GO:0051481,3
GO:0051490,5
GO:0051496,3
GO:0051519,1
GO:0051571,4
GO:0051595,8
GO:0051602,68
GO:0051607,1
GO:0051645,6
GO:0051661,68
GO:0051683,26
GO:0051684,26
GO:0051797,3
GO:0051798,1
GO:0051894,6
GO:0051897,1
GO:0055074,1
GO:0060012,4
GO:0060021,2
GO:0060039,3
GO:0060055,2
GO:0060065,2
GO:0060070,3
GO:0060290,3
GO:0060306,68
GO:0060307,68
GO:0060326,5
GO:0060333,5
GO:0060384,1
GO:0060391,4
GO:0060395,5
GO:0060412,2
GO:0060450,2
GO:0060453,5
GO:0060539,8
GO:0060548,2
GO:0070102,2
GO:0070207,2
GO:0070293,5
GO:0070301,5
GO:0070306,3
GO:0070373,8
GO:0070650,1
