GOID,Freq
GO:0000287,3
GO:0001784,1
GO:0003676,3
GO:0003677,26
GO:0003682,4
GO:0003688,1
GO:0003700,6
GO:0003707,5
GO:0003723,11
GO:0003735,1
GO:0003779,6
GO:0003785,11
GO:0003899,3
GO:0003924,2
GO:0004252,1
GO:0004407,3
GO:0004672,8
GO:0004674,5
GO:0004679,1
GO:0004709,46
GO:0004713,1
GO:0004842,27
GO:0004862,1
GO:0004879,5
GO:0004887,5
GO:0004930,15
GO:0005085,1
GO:0005089,1
GO:0005096,19
GO:0005102,2
GO:0005178,6
GO:0005200,12
GO:0005244,6
GO:0005509,5
GO:0005516,1
GO:0005518,2
GO:0005524,34
GO:0005525,2
GO:0005537,1
GO:0005546,1
GO:0008013,3
GO:0008017,21
GO:0008022,55
GO:0008083,16
GO:0008092,7
GO:0008137,1
GO:0008270,85
GO:0008375,1
GO:0008603,1
GO:0008607,1
GO:0009055,1
GO:0009378,1
GO:0015035,2
GO:0015578,1
GO:0015631,16
GO:0016174,1
GO:0016208,1
GO:0016651,1
GO:0016671,2
GO:0016740,9
GO:0016791,1
GO:0016887,3
GO:0017022,8
GO:0017048,2
GO:0017070,1
GO:0017124,4
GO:0018024,17
GO:0019899,3
GO:0019901,10
GO:0019903,3
GO:0019904,8
GO:0030158,1
GO:0030295,1
GO:0030506,1
GO:0030616,2
GO:0030674,4
GO:0030676,1
GO:0031593,3
GO:0031625,3
GO:0032041,3
GO:0032137,2
GO:0032403,34
GO:0032549,3
GO:0033883,1
GO:0042731,1
GO:0042802,6
GO:0042803,7
GO:0042826,3
GO:0042903,3
GO:0043014,3
GO:0043027,10
GO:0043140,1
GO:0043199,2
GO:0043531,1
GO:0045296,1
GO:0046872,68
GO:0046982,2
GO:0046983,3
GO:0047522,1
GO:0048156,3
GO:0048487,3
GO:0051015,5
GO:0051536,1
GO:0051537,1
GO:0051539,1
GO:0051787,3
GO:0051879,3
GO:0070411,2
GO:0070412,2
