,allCpGs,Meth,sparseMeth,unMeth
exonUTR,700167,55067,46053,507525
CDS,1516641,353333,78651,936647
intron,5221932,526656,491559,3135220
upstream,592834,4683,17767,463665
downstream,549787,21839,38167,390484
lncRNA,454393,17023,35974,289710
TE,5424483,295204,445759,3255637
intergenic,4730728,32028,180062,3272003
