,statistic,p.value,parameter,method,GenomeFeature,p.adj
1,915.12073425354,5.06739777470583e-201,1,Pearson's Chi-squared test with Yates' continuity correction,exonUTR,5.06739777470583e-201
2,503959.789311305,0,1,Pearson's Chi-squared test with Yates' continuity correction,CDS,0
3,98984.6469589833,0,1,Pearson's Chi-squared test with Yates' continuity correction,intron,0
4,30488.2211871264,0,1,Pearson's Chi-squared test with Yates' continuity correction,upstream,0
5,6108.73045768733,0,1,Pearson's Chi-squared test with Yates' continuity correction,downstream,0
6,5585.71747482505,0,1,Pearson's Chi-squared test with Yates' continuity correction,lncRNA,0
7,16779.6024320197,0,1,Pearson's Chi-squared test with Yates' continuity correction,TE,0
8,319561.281313611,0,1,Pearson's Chi-squared test with Yates' continuity correction,intergenic,0
