Day,Treatment,averagepH,standardError
2,Experiment,-27.86666667,0.635085296
2,Control,-54.43333333,0.251661148
5,Experiment,-28.5,0.1
5,Control,-56.63333333,0.152752523
7,Experiment,-28.8,0.360555128
7,Control,-56.4,0.692820323
12,Experiment,-29.73333333,0.305505046
12,Control,-57.76666667,0.611010093
14,Experiment,-32.6,1.646207763
14,Control,-59.16666667,0.950438495
19,Experiment,-29.90333333,0.334863156
19,Control,-59.86666667,0.305505046
21,Experiment,-33.46666667,0.461880215
21,Control,-60.63333333,0.2081666
26,Experiment,-31.96666667,0.450924975
26,Control,-57.06666667,0.288675135
28,Experiment,-30.93333333,0.75055535
28,Control,-59.56666667,0.2081666
33,Experiment,-31.66666667,0.305505046
33,Control,-60.5,0.264575131
36,Experiment,-32.8,0.346410162
36,Control,-60.43333333,1.193035345
42,Experiment,-33.23333333,1.361371857
42,Control,-57,1.96977156
44,Experiment,-32.96666667,0.56862407
44,Control,-60.7,2.981610303
48,Experiment,-30.2,0.264575131
48,Control,-60.73333333,0.907377173
52,Experiment,-42.03333333,3.847510017
52,Control,-56.6,0.916515139
