Date,Day,Tank,pH (mV)
2/17/17,2,1,-28.6
2/17/17,2,2,-27.5
2/17/17,2,3,-27.5
2/17/17,2,4,-54.4
2/17/17,2,5,-54.7
2/17/17,2,6,-54.2
2/20/17,5,1,-28.5
2/20/17,5,2,-28.6
2/20/17,5,3,-28.4
2/20/17,5,4,-56.8
2/20/17,5,5,-56.6
2/20/17,5,6,-56.5
2/22/17,7,1,-29.2
2/22/17,7,2,-28.7
2/22/17,7,3,-28.5
2/22/17,7,4,-56.8
2/22/17,7,5,-56.8
2/22/17,7,6,-55.6
2/27/17,12,1,-30
2/27/17,12,2,-29.8
2/27/17,12,3,-29.4
2/27/17,12,4,-57.1
2/27/17,12,5,-58.3
2/27/17,12,6,-57.9
3/1/17,14,1,-34.5
3/1/17,14,2,-31.6
3/1/17,14,3,-31.7
3/1/17,14,4,-58.2
3/1/17,14,5,-59.2
3/1/17,14,6,-60.1
3/6/17,19,1,-29.71
3/6/17,19,2,-29.71
3/6/17,19,3,-30.29
3/6/17,19,4,-60.2
3/6/17,19,5,-59.6
3/6/17,19,6,-59.8
3/8/17,21,1,-34
3/8/17,21,2,-33.2
3/8/17,21,3,-33.2
3/8/17,21,4,-60.7
3/8/17,21,5,-60.8
3/8/17,21,6,-60.4
3/13/17,26,1,-32.4
3/13/17,26,2,-32
3/13/17,26,3,-31.5
3/13/17,26,4,-56.9
3/13/17,26,5,-56.9
3/13/17,26,6,-57.4
3/15/17,28,1,-31.8
3/15/17,28,2,-30.5
3/15/17,28,3,-30.5
3/15/17,28,4,-59.5
3/15/17,28,5,-59.8
3/15/17,28,6,-59.4
3/20/17,33,1,-31.6
3/20/17,33,2,-32
3/20/17,33,3,-31.4
3/20/17,33,4,-60.7
3/20/17,33,5,-60.2
3/20/17,33,6,-60.6
3/23/17,36,1,-32.6
3/23/17,36,2,-33.2
3/23/17,36,3,-32.6
3/23/17,36,4,-59.1
3/23/17,36,5,-61.4
3/23/17,36,6,-60.8
3/29/17,42,1,-31.7
3/29/17,42,2,-34.3
3/29/17,42,3,-33.7
3/29/17,42,4,-56.4
3/29/17,42,5,-59.2
3/29/17,42,6,-55.4
3/31/17,44,1,-32.5
3/31/17,44,2,-32.8
3/31/17,44,3,-33.6
3/31/17,44,4,-57.5
3/31/17,44,5,-61.2
3/31/17,44,6,-63.4
4/4/17,48,1,-30.4
4/4/17,48,2,-29.9
4/4/17,48,3,-30.3
4/4/17,48,4,-61.1
4/4/17,48,5,-59.7
4/4/17,48,6,-61.4
4/8/17,52,1,-44
4/8/17,52,2,-37.6
4/8/17,52,3,-44.5
4/8/17,52,4,-57.6
4/8/17,52,5,-56.4
4/8/17,52,6,-55.8
