"","Date","Day","Tank","mV","Tin","pH"
"1","3/6/17",19,"3",-30.29,9.86,7.29680388039598
"2","3/6/17",19,"1",-29.71,9.94,7.28585163350506
"3","3/6/17",19,"2",-29.71,10,7.28538396527794
"4","3/6/17",19,"H2",-30.86,9.78,7.30758411864129
"5","3/6/17",19,"H1",-58.29,10.03,7.79378782314576
"6","3/6/17",19,"5",-59.6,10.29,7.81458944965384
"7","3/6/17",19,"6",-59.8,10.41,7.81698576192364
"8","3/6/17",19,"4",-60.2,10.56,7.8226425930198
