Date,Day,Tank,mV,pH,
2/17/17,2,1,-28.6,7.327899246,
2/17/17,2,2,-27.5,7.308164966,
2/17/17,2,3,-27.5,7.308344668,
2/17/17,2,4,-54.4,7.785689415,
2/17/17,2,5,-54.7,7.79187607,
2/17/17,2,6,-54.2,7.783094226,
2/20/17,5,1,-28.5,7.327479372,
2/20/17,5,2,-28.6,7.329076769,
2/20/17,5,3,-28.4,7.325248324,
2/20/17,5,4,-56.8,7.825963521,
2/20/17,5,5,-56.6,7.820147054,
2/20/17,5,6,-56.5,7.817941716,
2/22/17,7,1,-29.2,7.286911359,
2/22/17,7,2,-28.7,7.277755285,
2/22/17,7,3,-28.5,7.275204932,
2/22/17,7,4,-56.8,7.775573852,
2/22/17,7,5,-56.8,7.775221144,
2/22/17,7,6,-55.6,7.755445231,
2/27/17,12,1,-30,7.338399783,
2/27/17,12,2,-29.8,7.334843276,
2/27/17,12,3,-29.4,7.32702423,
2/27/17,12,4,-57.1,7.807149017,
2/27/17,12,5,-58.3,7.822434208,
2/27/17,12,6,-57.9,7.820373264,
3/1/17,14,1,-34.5,7.365183932,
3/1/17,14,2,-31.6,7.311860915,
3/1/17,14,3,-31.7,7.314855557,
3/1/17,14,4,-58.2,7.781728453,
3/1/17,14,5,-59.2,7.799909161,
3/1/17,14,6,-60.1,7.813732222,
3/6/17,19,1,-29.71,7.285851634,
3/6/17,19,2,-29.71,7.285383965,
3/6/17,19,3,-30.29,7.29680388,
3/6/17,19,4,-60.2,7.822642593,
3/6/17,19,5,-59.6,7.81458945,
3/6/17,19,6,-59.8,7.816985762,
3/8/17,21,1,-34,7.348684574,
3/8/17,21,2,-33.2,7.333054865,
3/8/17,21,3,-33.2,7.33246872,
3/8/17,21,4,-60.7,7.814701514,
3/8/17,21,5,-60.8,7.817523454,
3/8/17,21,6,-60.4,7.809920152,
3/13/17,26,1,-32.4,7.321472276,
3/13/17,26,2,-32,7.315696521,
3/13/17,26,3,-31.5,7.306566825,
3/13/17,26,4,-56.9,7.750563355,
3/13/17,26,5,-56.9,7.749629028,
3/13/17,26,6,-57.4,7.758916489,
3/15/17,28,1,-31.8,7.338925495,
3/15/17,28,2,-30.5,7.314827662,
3/15/17,28,3,-30.5,7.317974457,
3/15/17,28,4,-59.5,7.824360053,
3/15/17,28,5,-59.8,7.829743157,
3/15/17,28,6,-59.4,7.822108842,
3/20/17,33,1,-31.6,7.304159027,
3/20/17,33,2,-32,7.306238319,
3/20/17,33,3,-31.4,7.29858374,
3/20/17,33,4,-60.7,7.816161448,
3/20/17,33,5,-60.2,7.806916418,
3/20/17,33,6,-60.6,7.815694026,
3/23/17,36,1,-32.6,7.33863264,
3/23/17,36,2,-33.2,7.34245133,
3/23/17,36,3,-32.6,7.333963809,
3/23/17,36,4,-59.1,7.800083913,
3/23/17,36,5,-61.4,7.841173757,
3/23/17,36,6,-60.8,7.830535018,
3/29/17,42,1,-31.7,7.340200172,
3/29/17,42,2,-34.3,7.391090735,
3/29/17,42,3,-33.7,7.376296448,
3/29/17,42,4,-56.4,7.78469992,
3/29/17,42,5,-59.2,7.825683584,
3/29/17,42,6,-55.4,7.761692406,
3/31/17,44,1,-32.5,7.370618356,
3/31/17,44,2,-32.8,7.374185289,
3/31/17,44,3,-33.6,7.391779793,
3/31/17,44,4,-57.5,7.809401233,
3/31/17,44,5,-61.2,7.874822657,
3/31/17,44,6,-63.4,7.914669724,
4/4/17,48,1,-30.4,7.290757252,
4/4/17,48,2,-29.9,7.282132205,
4/4/17,48,3,-30.3,7.288186427,
4/4/17,48,4,-61.1,7.828503875,
4/4/17,48,5,-59.7,7.804219841,
4/4/17,48,6,-61.4,7.832363175,
4/8/17,52,1,-44,7.535890137,
4/8/17,52,2,-37.6,7.422350107,
4/8/17,52,3,-44.5,7.544947226,
4/8/17,52,4,-57.6,7.776362155,
4/8/17,52,5,-56.4,7.756631508,
4/8/17,52,6,-55.8,7.745775901,
