"","Date","Day","Tank","mV","Tin","pH"
"1","2/20/17",5,"H1",-29.2,9.93,7.34238863867822
"2","2/20/17",5,"1",-28.5,10.2,7.32747937249859
"3","2/20/17",5,"2",-28.6,10.22,7.32907676861927
"4","2/20/17",5,"3",-28.4,10.25,7.32524832363261
"5","2/20/17",5,"H2",-58.8,10.43,7.86388566371832
"6","2/20/17",5,"4",-56.8,10.65,7.82596352068651
"7","2/20/17",5,"5",-56.6,10.86,7.82014705435238
"8","2/20/17",5,"6",-56.5,10.9,7.81794171640567
