"","Date","Day","Tank","mV","Tin","pH"
"1","3/15/17",28,"3",-30.5,11.02,7.33404687565594
"2","3/15/17",28,"2",-30.5,11.52,7.33077173772459
"3","3/15/17",28,"1",-31.8,11.35,7.35491334624993
"4","3/15/17",28,"H2",-31.5,11.61,7.34788106663118
"5","3/15/17",28,"4",-59.5,12,7.84017976086637
"6","3/15/17",28,"5",-59.8,11.99,7.84556546727496
"7","3/15/17",28,"6",-59.4,12.06,7.83791292446663
"8","3/15/17",28,"H1",-60.7,11.86,7.86256570322072
