"","Date","Day","Tank","mV","Tin","pH"
"1","3/23/17",36,"3",-32.6,10.68,7.35012279139245
"2","3/23/17",36,"2",-33.2,10.93,7.358546718557
"3","3/23/17",36,"1",-32.6,10.14,7.35492791964739
"4","3/23/17",36,"H1",-36.8,10.67,7.42479041925623
"5","3/23/17",36,"4",-59.1,11.11,7.81613332136105
"6","3/23/17",36,"5",-61.4,11.08,7.85723084030125
"7","3/23/17",36,"6",-60.8,11.08,7.84659210070858
"8","3/23/17",36,"H2",-59.7,11.06,7.82729897546192
