Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3644_10_R1	0.43735009202321334					
zr3644_10_R1_val_1		17.682115290345706	18.0	105.41996593949405	9.090909090909092	52592877.0
zr3644_10_R2	0.4365140054332664					
zr3644_10_R2_val_2		17.833417322708613	19.0	105.3917632229931	18.181818181818183	52592877.0
zr3644_11_R1	0.43535911203273003					
zr3644_11_R1_val_1		18.387141307852616	18.0	105.36702268214388	9.090909090909092	56807549.0
zr3644_11_R2	0.4373833130778553					
zr3644_11_R2_val_2		18.111725227719575	18.0	105.33915145678966	18.181818181818183	56807549.0
zr3644_12_R1	0.42892842999303965					
zr3644_12_R1_val_1		17.245201531076248	18.0	105.55734146037564	9.090909090909092	47672940.0
zr3644_12_R2	0.4264387136201213					
zr3644_12_R2_val_2		17.154470844923125	18.0	105.53179350801524	18.181818181818183	47672940.0
zr3644_13_R1	0.4370392193809022					
zr3644_13_R1_val_1		17.47850549792986	18.0	106.31270929878015	9.090909090909092	53911566.0
zr3644_13_R2	0.43056059611324027					
zr3644_13_R2_val_2		18.05174364332379	18.0	106.29630892191112	18.181818181818183	53911566.0
zr3644_14_R1	0.45306582812164703					
zr3644_14_R1_val_1		15.599405016593082	18.0	105.61009527183897	9.090909090909092	36871756.0
zr3644_14_R2	0.42505197887141577					
zr3644_14_R2_val_2		16.532929586506327	18.0	105.62111058665066	18.181818181818183	36871756.0
zr3644_15_R1	0.44035760760083953					
zr3644_15_R1_val_1		18.363248787386738	18.0	105.84635832377327	9.090909090909092	59137561.0
zr3644_15_R2	0.42804811272188403					
zr3644_15_R2_val_2		18.355448866377188	18.0	105.84865517196423	18.181818181818183	59137561.0
zr3644_16_R1	0.4381371134692275					
zr3644_16_R1_val_1		18.8816108956414	19.0	104.06734456690164	9.090909090909092	51615953.0
zr3644_16_R2	0.4314753807835488					
zr3644_16_R2_val_2		18.916670122622023	19.0	104.06059870676029	18.181818181818183	51615953.0
zr3644_17_R1	0.43011340904658957					
