,Protein.Name,Sample,Replicate1,Replicate2,CoV
11, ELGLNNDITNMNGGAIALGHPLAASGTR y10,O01,0.000886604,0.000921429,2.723903951
12, ELGLNNDITNMNGGAIALGHPLAASGTR y12,O01,0.000627307,0.000620726,0.745705675
13, ELGLNNDITNMNGGAIALGHPLAASGTR y8,O01,0.001408244,0.001856698,19.42485672
14, ITGHLAHELQR y5,O01,0.000544052,0.000459508,11.9138219
15, ITGHLAHELQR y6,O01,0.001389016,0.001506604,5.742958596
16, ITGHLAHELQR y7,O01,0.000940562,0.001013747,5.29595008
17, QYNLTPLAR y4,O01,0.008526885,0.00872555,1.628494046
18, QYNLTPLAR y5,O01,0.007919649,0.008588548,5.730283412
19, QYNLTPLAR y6,O01,0.003973255,0.003701429,5.008949043
20,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y4,O01,0.01199815,0.011494941,3.02916367
21,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y5,O01,0.008331991,0.008388712,0.479740894
22,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y6,O01,0.030762155,0.030458407,0.701664956
23,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y4,O01,0.008206183,0.00830829,0.874397467
24,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y5,O01,0.019488454,0.018083255,5.289223179
25,CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y6,O01,0.037989719,0.036010187,3.78308649
27,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y8,O01,0.003660117,0.003806932,2.780586314
28,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y9,O01,0.001664052,0.001740023,3.156231543
30,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y7,O01,0.004937775,0.005204075,3.713373163
31,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y8,O01,0.003178501,0.003396792,4.694988554
32,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y5,O01,0.001079578,0.001157166,4.905600029
33,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7,O01,0.004471897,0.004188618,4.625782104
34,CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9,O01,0.002767213,0.003241686,11.16687457
35,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y5,O01,0.001871991,0.001738454,5.230625256
36,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7,O01,0.006192342,0.004842553,17.29867206
37,CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y8,O01,0.001670094,0.002017775,13.33279221
