"","O01","O04","O06","O08","O10","O100","O101","O102","O103","O106","O118","O121","O122","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O49","O51","O52","O56","O60","O64","O66","O71","O78","O90","O91","O96","O99"
" ELGLNNDITNMNGGAIALGHPLAASGTR y10",0.0009040165,0.0003258585,NA,0.0007512145,0.000634633,NA,0.0006613535,0.000638007,NA,0.0005885255,0.0007352005,0.0010121585,NA,0.001032561,NA,0.0006271675,0.0006830735,NA,0.0011505365,NA,0.0009137295,0.000507908,0.00043687,NA,NA,0.0008424975,0.0006719265,0.0006722305,0.0005542035,0.001053338,0.0007435605,NA,NA,NA,0.000402312,NA,NA,0.0011125595,NA,0.0009115805,NA,0.000825647,0.000348625,0.000813527,0.0005803975,NA
" ELGLNNDITNMNGGAIALGHPLAASGTR y12",0.0006240165,0.000254548,NA,0.000515666,0.0003313475,NA,0.0005003455,0.0003756285,NA,0.0004843475,0.0005394175,0.000486393,NA,NA,NA,0.000356563,0.000456417,NA,NA,NA,0.000608208,0.0003769245,NA,NA,0.000456552,0.0004447285,0.0004577265,0.0003373375,NA,0.0004714055,NA,NA,0.0004244795,NA,NA,NA,0.000419718,0.0006613345,0.0003806825,0.0006242115,NA,0.0005670105,NA,0.0005161735,0.000358057,0.0004384015
" ELGLNNDITNMNGGAIALGHPLAASGTR y8",0.001632471,0.0005502735,0.000956661,0.001457737,0.001059223,0.0005949035,0.0011802855,NA,NA,0.001016323,0.001529479,NA,NA,0.001682322,NA,0.000978065,0.001214708,NA,0.0019324965,NA,0.00179959,0.0008134035,NA,0.001027473,NA,NA,0.0012308075,0.000993155,0.0009171985,0.0017852875,0.001167121,0.0008702925,0.001188245,NA,0.0007025615,NA,0.0012333685,0.0016894345,NA,0.001441817,NA,0.001316301,0.0006439395,0.0014350315,0.0009043535,0.001098465
" ITGHLAHELQR y5",0.00050178,0.0004146825,NA,0.000727664,0.000495032,0.000381803,0.000468823,0.000566123,NA,NA,0.0005378845,0.0009205165,NA,0.0007893775,NA,NA,0.000380843,NA,0.001207353,0.0006195245,NA,0.0003519855,0.00037045,0.000534505,NA,0.0003225625,0.0004860885,0.0003339745,NA,NA,0.0004985255,0.00023481,NA,NA,0.000291494,NA,NA,0.000772741,NA,0.000535732,NA,0.000667746,0.0001249535,0.000623075,0.0003792205,NA
" ITGHLAHELQR y6",0.00144781,0.0010302815,0.0008565625,0.001651904,0.0013005975,NA,0.001250661,0.001391334,NA,0.0013091925,0.0014384465,0.002370683,0.001731287,0.001853121,0.0011664295,0.0011939105,0.0010928525,NA,0.002709229,NA,0.001559798,0.000839457,0.00078574,0.0014379595,0.000909609,0.0009288205,NA,0.000808453,0.001106132,NA,0.0011041425,0.0006393545,NA,NA,NA,NA,0.0013438125,0.0019372225,0.001318342,0.0016473655,NA,NA,NA,0.0017157225,0.0009131505,NA
" ITGHLAHELQR y7",0.0009771545,0.0008141395,NA,0.0012760855,0.0009090465,NA,0.00097983,NA,NA,0.0010578655,0.0009660445,0.001795484,NA,0.0012805305,0.001025429,NA,0.000852067,NA,0.001997811,0.001165931,0.0010330895,0.0006408695,0.000581334,0.001009778,0.0005555675,0.000674501,0.000941868,0.000600193,NA,NA,0.0008005995,NA,0.0006321465,NA,0.000651734,NA,0.0008628775,0.001601498,NA,0.0012845335,NA,0.0011278025,0.0002866665,0.0011641205,0.000675301,NA
" QYNLTPLAR y4",0.0086262175,0.0039879005,NA,0.0023072175,0.0049598575,0.0045659575,0.007367888,0.0066113665,0.0089237695,0.007637018,0.008553596,0.012340112,NA,0.0033837245,NA,0.006421646,0.0047310865,NA,0.0125972325,NA,0.0060706975,0.0055336895,0.0039912025,0.0048648625,0.004595942,0.002739788,0.009166647,0.004126774,0.007671722,0.011355077,0.004887219,0.0057147375,0.0048788915,NA,0.0035454845,NA,0.0043588035,0.0103308915,0.008956712,0.0061468845,0.0068023725,0.0103916975,0.0014859905,NA,0.002069775,0.002304254
" QYNLTPLAR y5",0.0082540985,0.0038488155,0.0018395645,0.002066044,0.004792787,0.00403434,0.007137191,0.0066394565,0.008243485,0.0075591335,0.0085962465,0.0118884565,NA,0.003142134,NA,0.0062331835,0.004537709,NA,0.0128642375,NA,0.006216312,0.0058994485,0.004096951,0.00459103,0.0042563,0.002499642,0.008719762,0.004190788,0.00733394,0.010943417,0.0045964975,0.005417029,0.0046244485,NA,0.0038619615,NA,0.004303463,0.0101671105,0.0088836405,0.006546779,0.006237028,0.010479108,0.001395,NA,0.002074769,0.002483637
" QYNLTPLAR y6",0.003837342,0.0016642615,0.0009099785,0.0010499735,0.0020192245,NA,0.0029744525,NA,NA,0.0031410515,0.003568795,0.005173854,NA,NA,NA,0.002899281,0.0020468185,NA,0.0055553855,NA,0.0027704905,0.0022927585,0.00181985,0.0021458495,NA,NA,0.003907231,0.001654268,0.003241811,0.0043599225,0.0019108365,0.002330656,0.0021913575,NA,0.0015597035,NA,0.0018025805,0.0041612535,0.004179959,0.002644824,0.0024712465,0.004073335,0.0006917365,0.0039856175,0.001049987,0.001075945
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y4",0.0117465455,0.0108980855,0.0091913025,0.0117226845,0.010419823,0.0105590095,0.0118879045,NA,NA,0.0108731285,0.010519487,0.018355568,NA,0.014904091,NA,0.011577906,NA,NA,0.0215235675,NA,0.014906844,0.0079421355,NA,NA,0.0104016955,0.0091447355,NA,0.0110651315,0.007837434,NA,0.007378882,0.008365775,0.010934019,NA,0.00695021,NA,0.0085240375,0.01260801,0.011239623,0.013292581,NA,0.012052889,0.005865128,0.014118653,0.0070249265,0.0106831615
