Sample,UniqueReads,DuplicateReads,TotalReads,percUnique,percDuplicate
zr3644_10_R1_val_1_val_1,43285586,9276895,52562481,0.823507285,0.176492715
zr3644_10_R2_val_2_val_2,43193751,9368730,52562481,0.821760126,0.178239874
zr3644_11_R1_val_1_val_1,46360181,10414078,56774259,0.816570429,0.183429571
zr3644_11_R2_val_2_val_2,46505178,10269081,56774259,0.81912435,0.18087565
zr3644_12_R1_val_1_val_1,39442336,8207487,47649823,0.827754093,0.172245907
zr3644_12_R2_val_2_val_2,39489173,8160650,47649823,0.828737034,0.171262966
zr3644_13_R1_val_1_val_1,44473891,9409364,53883255,0.825374989,0.174625011
zr3644_13_R2_val_2_val_2,44164682,9718573,53883255,0.81963649,0.18036351
zr3644_14_R1_val_1_val_1,31110795,5741789,36852584,0.844195756,0.155804244
zr3644_14_R2_val_2_val_2,30766502,6086082,36852584,0.834853317,0.165146683
zr3644_15_R1_val_1_val_1,48263715,10841947,59105662,0.816566694,0.183433306
zr3644_15_R2_val_2_val_2,48265605,10840057,59105662,0.81659867,0.18340133
zr3644_16_R1_val_1_val_1,41855143,9729212,51584355,0.811392194,0.188607806
zr3644_16_R2_val_2_val_2,41837384,9746971,51584355,0.811047923,0.188952077
zr3644_17_R1_val_1_val_1,46894764,11379882,58274646,0.804719843,0.195280157
zr3644_17_R2_val_2_val_2,46368741,11905905,58274646,0.795693225,0.204306775
zr3644_18_R1_val_1_val_1,42420072,9264305,51684377,0.820752314,0.179247686
zr3644_18_R2_val_2_val_2,42557845,9126532,51684377,0.823417974,0.176582026
zr3644_19_R1_val_1_val_1,40944410,8389510,49333920,0.829944387,0.170055613
zr3644_19_R2_val_2_val_2,40970461,8363459,49333920,0.830472442,0.169527558
zr3644_1_R1_val_1_val_1,41512750,10403537,51916287,0.799609379,0.200390621
zr3644_1_R2_val_2_val_2,42012901,9903386,51916287,0.809243176,0.190756824
zr3644_20_R1_val_1_val_1,45317320,8741914,54059234,0.838290087,0.161709913
zr3644_20_R2_val_2_val_2,43890913,10168321,54059234,0.811904087,0.188095913
zr3644_21_R1_val_1_val_1,42369148,8715623,51084771,0.829389017,0.170610983
zr3644_21_R2_val_2_val_2,42018498,9066273,51084771,0.822524936,0.177475064
zr3644_22_R1_val_1_val_1,39122009,8576619,47698628,0.820191495,0.179808505
zr3644_22_R2_val_2_val_2,39107527,8591101,47698628,0.81988788,0.18011212
zr3644_23_R1_val_1_val_1,33939898,6576009,40515907,0.837693156,0.162306844
zr3644_23_R2_val_2_val_2,33626807,6889100,40515907,0.829965549,0.170034451
zr3644_24_R1_val_1_val_1,43615112,9279778,52894890,0.824561919,0.175438081
zr3644_24_R2_val_2_val_2,43118476,9776414,52894890,0.815172808,0.184827192
zr3644_2_R1_val_1_val_1,44677901,10958486,55636387,0.803033831,0.196966169
zr3644_2_R2_val_2_val_2,44861552,10774835,55636387,0.806334746,0.193665254
zr3644_3_R1_val_1_val_1,33104591,6320351,39424942,0.839686486,0.160313514
zr3644_3_R2_val_2_val_2,33163272,6261670,39424942,0.841174909,0.158825091
zr3644_4_R1_val_1_val_1,41447225,8540430,49987655,0.829149217,0.170850783
zr3644_4_R2_val_2_val_2,41088043,8899612,49987655,0.821963803,0.178036197
zr3644_5_R1_val_1_val_1,37551900,7119616,44671516,0.840622915,0.159377085
zr3644_5_R2_val_2_val_2,37052219,7619297,44671516,0.829437241,0.170562759
zr3644_6_R1_val_1_val_1,44647971,9356168,54004139,0.826750909,0.173249091
zr3644_6_R2_val_2_val_2,44084772,9919367,54004139,0.816322097,0.183677903
zr3644_7_R1_val_1_val_1,66932627,15594442,82527069,0.811038461,0.188961539
zr3644_7_R2_val_2_val_2,66710821,15816248,82527069,0.808350785,0.191649215
zr3644_8_R1_val_1_val_1,35707139,7211369,42918508,0.83197531,0.16802469
zr3644_8_R2_val_2_val_2,35776694,7141814,42918508,0.83359594,0.16640406
zr3644_9_R1_val_1_val_1,39513762,9209895,48723657,0.810976935,0.189023065
zr3644_9_R2_val_2_val_2,39539510,9184147,48723657,0.811505384,0.188494616
