Date,Time,CI-Tide,FB-Tide,PG-Tide,SK-Tide,WB-Tide,,
6/1/16,0:00,10.512201,7.577947,9.428513,10.546477,9.64148,,
6/1/16,0:10,10.966527,7.73074,9.654282,10.837614,9.378137,,
6/1/16,0:20,11.410603,7.871733,9.860748,11.108152,9.092646,,
6/1/16,0:30,11.842586,7.999862,10.04649,11.356565,8.787506,,
6/1/16,0:40,12.258384,8.114086,10.210131,11.579815,8.465386,,
6/1/16,0:50,12.65401,8.213398,10.349715,11.776615,8.129015,,
6/1/16,1:00,13.027454,8.296833,10.464354,11.944573,7.781064,,
6/1/16,1:10,13.374297,8.363477,10.553249,12.082772,7.424041,,
6/1/16,1:20,13.692636,8.412477,10.615451,12.189617,7.060196,,
6/1/16,1:30,13.978616,8.443057,10.650739,12.264545,6.691458,,
6/1/16,1:40,14.230638,8.454523,10.658994,12.307113,6.319409,,
6/1/16,1:50,14.445991,8.446283,10.640643,12.317068,5.9453,,
6/1/16,2:00,14.622575,8.417854,10.59627,12.296339,5.570106,,
6/1/16,2:10,14.759527,8.368877,10.526371,12.246143,5.194636,,
6/1/16,2:20,14.855376,8.299128,10.431606,12.166881,4.819653,,
6/1/16,2:30,14.909828,8.20853,10.312534,12.059557,4.446036,,
6/1/16,2:40,14.922579,8.097158,10.170427,11.924926,4.07493,,
6/1/16,2:50,14.896751,7.965255,10.00604,11.763959,3.707897,,
6/1/16,3:00,14.834091,7.81323,9.820339,11.577357,3.347029,,
6/1/16,3:10,14.735518,7.641668,9.613946,11.366836,2.995024,,
6/1/16,3:20,14.601624,7.45133,9.388544,11.133203,2.655203,,
6/1/16,3:30,14.433954,7.243151,9.144784,10.877559,2.331469,,
6/1/16,3:40,14.233532,7.018242,8.883646,10.600517,2.028199,,
6/1/16,3:50,14.001244,6.777876,8.605632,10.304115,1.750077,,
6/1/16,4:00,13.739235,6.523489,8.31268,9.988997,1.501885,,
6/1/16,4:10,13.448004,6.25666,8.005376,9.65628,1.288252,,
6/1/16,4:20,13.129919,5.979106,7.684822,9.307119,1.113395,,
6/1/16,4:30,12.785289,5.692657,7.351637,8.942097,0.980868,,
6/1/16,4:40,12.416652,5.399247,7.008244,8.563768,0.893329,,
6/1/16,4:50,12.024826,5.100886,6.655528,8.172951,0.85237,,
6/1/16,5:00,11.610496,4.799645,6.294467,7.771219,0.858393,,
6/1/16,5:10,11.176517,4.497628,5.928038,7.359604,0.910572,,
6/1/16,5:20,10.722965,4.196952,5.557572,6.94143,1.006884,,
6/1/16,5:30,10.253031,3.899721,5.185178,6.518121,1.144216,,
6/1/16,5:40,9.767773,3.608003,4.812499,6.091984,1.318544,,
6/1/16,5:50,9.268336,3.323806,4.443202,5.664784,1.525153,,
