Location,Abbreviation,Latitude,Longitude,
Case Inlet,CI,47.3579367,-122.7957627,
Fidalgo Bay,FB,48.481691,-122.58353,
Port Gamble Bay,PG,47.842676,-122.583832,
Skokomish River Delta,SK,47.35523,-123.1572,
Willapa Bay,WB,46.4944789,-124.0261356,
