Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
zr3644_10_R1_val_1_val_1_val_1	564980.0	2386291.0	9306910.0	0.5	0.5	10.9	672970784.0	116489506.0	467962511.0	76260586.0
zr3644_11_R1_val_1_val_1_val_1	610034.0	2576124.0	9757130.0	0.5	0.5	10.6	726169635.0	125295846.0	505590671.0	82339830.0
zr3644_12_R1_val_1_val_1_val_1	482709.0	2040503.0	7396838.0	0.5	0.5	9.8	612809937.0	102458475.0	431991409.0	68440003.0
zr3644_13_R1_val_1_val_1_val_1	598774.0	2518190.0	9391702.0	0.5	0.5	10.5	708901527.0	121675328.0	495020776.0	79696757.0
zr3644_14_R1_val_1_val_1_val_1	427899.0	1764939.0	7278291.0	0.5	0.5	11.9	486682336.0	83650906.0	339517575.0	54042726.0
zr3644_15_R1_val_1_val_1_val_1	661769.0	2785392.0	10932689.0	0.5	0.5	11.2	771512030.0	132324684.0	538416026.0	86391470.0
zr3644_16_R1_val_1_val_1_val_1	530647.0	2219073.0	8550473.0	0.5	0.5	10.6	634507438.0	109601187.0	441690106.0	71915952.0
zr3644_17_R1_val_1_val_1_val_1	645928.0	2695248.0	10065889.0	0.5	0.5	10.5	750665344.0	130302636.0	521354926.0	85600717.0
zr3644_18_R1_val_1_val_1_val_1	581444.0	2419643.0	9228355.0	0.5	0.5	10.7	680956547.0	118223750.0	473479508.0	77023847.0
zr3644_19_R1_val_1_val_1_val_1	548270.0	2309048.0	8508318.0	0.5	0.5	10.3	652076966.0	112407205.0	454506216.0	73797909.0
zr3644_1_R1_val_1_val_1_val_1	530436.0	2233158.0	8019564.0	0.5	0.5	9.7	656185088.0	113553021.0	457145412.0	74703497.0
zr3644_20_R1_val_1_val_1_val_1	608123.0	2523251.0	9253793.0	0.5	0.5	10.4	704746106.0	121187516.0	491412701.0	79760722.0
zr3644_21_R1_val_1_val_1_val_1	566089.0	2357111.0	8897366.0	0.5	0.5	10.5	671295159.0	115427065.0	468144027.0	75903501.0
zr3644_22_R1_val_1_val_1_val_1	538491.0	2239763.0	8357109.0	0.5	0.5	10.5	628767897.0	109045767.0	437133884.0	71452883.0
zr3644_23_R1_val_1_val_1_val_1	445302.0	1864072.0	6879279.0	0.5	0.5	10.3	523762933.0	90544405.0	364432099.0	59597776.0
zr3644_24_R1_val_1_val_1_val_1	591767.0	2471218.0	9199601.0	0.5	0.5	10.4	696581319.0	120496784.0	484830773.0	78991176.0
zr3644_2_R1_val_1_val_1_val_1	606030.0	2545972.0	9492033.0	0.5	0.5	10.3	734681415.0	125509718.0	513873220.0	82654442.0
zr3644_3_R1_val_1_val_1_val_1	427744.0	1799739.0	6812889.0	0.5	0.5	10.4	519734226.0	89213203.0	362717323.0	58763328.0
zr3644_4_R1_val_1_val_1_val_1	516089.0	2143339.0	8230533.0	0.5	0.5	10.1	647545749.0	110297480.0	453319639.0	73038669.0
zr3644_5_R1_val_1_val_1_val_1	493412.0	2060645.0	7735787.0	0.5	0.5	10.5	589371788.0	101010033.0	411957334.0	66114577.0
zr3644_6_R1_val_1_val_1_val_1	588112.0	2480715.0	9171379.0	0.5	0.5	10.4	700942212.0	120317877.0	489494559.0	78889570.0
zr3644_7_R1_val_1_val_1_val_1	900907.0	3799355.0	14313577.0	0.5	0.5	10.6	1077845907.0	184099247.0	753863913.0	120868908.0
zr3644_8_R1_val_1_val_1_val_1	480801.0	2036378.0	7565296.0	0.5	0.5	10.7	558395155.0	96372135.0	388718945.0	63221600.0
zr3644_9_R1_val_1_val_1_val_1	483963.0	2033084.0	8185845.0	0.5	0.5	10.9	585196152.0	101618372.0	406273313.0	66601575.0
