Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
zr3644_1_R1_val_1_val_1_val_1	31687838.0	6532234.0	3518.0	914564.0	3838735.0	13928703.0	12773379.0	62.140995321144274	0.5	0.5	9.8	7871018.0	7870081.0	7973839.0	7969382.0	1115774564.0	50993451.0	194760133.0	774357365.0	127975064.0
zr3644_20_R1_val_1_val_1_val_1	32489129.0	6301606.0	3848.0	997641.0	4136554.0	15446101.0	14599336.0	60.852380211294346	0.5	0.5	10.6	8422205.0	8415796.0	7829400.0	7817880.0	1148855238.0	53390071.0	199305094.0	798205532.0	130764316.0
zr3644_21_R1_val_1_val_1_val_1	30932612.0	6045064.0	3820.0	933395.0	3877033.0	14831994.0	13479625.0	61.304531528549255	0.5	0.5	10.7	7725591.0	7729999.0	7735399.0	7737803.0	1092232309.0	50457301.0	189579802.0	758661746.0	124348339.0
zr3644_22_R1_val_1_val_1_val_1	29164293.0	5799813.0	3674.0	898075.0	3733158.0	14078388.0	12055540.0	62.02576046616769	0.5	0.5	10.6	7317228.0	7309226.0	7272661.0	7261504.0	1035254685.0	47019646.0	181180018.0	716902015.0	118463031.0
zr3644_23_R1_val_1_val_1_val_1	24721544.0	5019158.0	2976.0	750578.0	3129842.0	11700596.0	10161807.0	61.95486103392647	0.5	0.5	10.5	6155092.0	6151521.0	6203501.0	6208454.0	871034956.0	39902509.0	151894105.0	603824268.0	99735567.0
zr3644_24_R1_val_1_val_1_val_1	32479152.0	6461643.0	4026.0	990475.0	4125982.0	15525678.0	13303250.0	62.168141842768875	0.5	0.5	10.6	8121612.0	8116900.0	8121787.0	8114827.0	1152358324.0	52244045.0	201060109.0	799166554.0	131489526.0
zr3644_2_R1_val_1_val_1_val_1	33615008.0	6604668.0	4620.0	1001189.0	4199273.0	15775590.0	14806238.0	61.0894132535445	0.5	0.5	10.4	8393898.0	8397912.0	8402670.0	8415908.0	1197280356.0	55025914.0	206239669.0	834496596.0	135568039.0
zr3644_3_R1_val_1_val_1_val_1	23805179.0	4765393.0	3159.0	700201.0	2945412.0	11246015.0	10343037.0	61.17443128957789	0.5	0.5	10.5	5970104.0	5956670.0	5942855.0	5932391.0	841165030.0	38913609.0	145538838.0	585123829.0	95610735.0
zr3644_4_R1_val_1_val_1_val_1	30294123.0	5980304.0	3392.0	863058.0	3571494.0	13911788.0	13031821.0	61.440738707191834	0.5	0.5	10.3	7564330.0	7560867.0	7582759.0	7582775.0	1072084783.0	49306248.0	184074892.0	748142488.0	121521063.0
zr3644_5_R1_val_1_val_1_val_1	27062582.0	5246965.0	3097.0	809839.0	3383314.0	12849444.0	11774109.0	61.38915066391045	0.5	0.5	10.6	6813222.0	6808129.0	6722326.0	6715808.0	958806516.0	44083656.0	165705948.0	667945580.0	108112391.0
zr3644_6_R1_val_1_val_1_val_1	32883973.0	6419936.0	3856.0	987998.0	4159215.0	15519079.0	13870904.0	61.84125743893072	0.5	0.5	10.6	8209212.0	8215780.0	8223033.0	8232092.0	1163306727.0	53174813.0	201241492.0	809825811.0	131573132.0
zr3644_7_R1_val_1_val_1_val_1	49808265.0	9714845.0	6088.0	1490398.0	6273620.0	23877029.0	22049639.0	61.059931914272006	0.5	0.5	10.7	12454757.0	12446983.0	12455414.0	12445023.0	1760829695.0	81572749.0	303395937.0	1227138022.0	198654689.0
zr3644_8_R1_val_1_val_1_val_1	26007499.0	5280103.0	3208.0	798448.0	3381738.0	12681846.0	11049243.0	61.42994122495429	0.5	0.5	10.8	6502055.0	6499419.0	6507164.0	6495653.0	917080681.0	42336845.0	159572763.0	636246906.0	104398980.0
zr3644_9_R1_val_1_val_1_val_1	29242056.0	6363218.0	3271.0	853231.0	3562620.0	14622783.0	11968391.0	61.46689770485415	0.5	0.5	11.1	7277422.0	7275172.0	7345327.0	7340864.0	1019347442.0	47573665.0	178719809.0	704737432.0	116851567.0
