Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
zr3644_10_R1_val_1_val_1_val_1	31715015.0	6444136.0	4420.0	953501.0	4021291.0	15858264.0	13743561.0	61.10473572170949	0.5	0.5	11.0	7887972.0	7894629.0	7960444.0	7967550.0	1120505063.0	51902712.0	195809902.0	775895327.0	127966778.0
zr3644_11_R1_val_1_val_1_val_1	34270614.0	6959904.0	4580.0	1026274.0	4320799.0	16575220.0	14832830.0	61.12837570813645	0.5	0.5	10.7	8574939.0	8577936.0	8559411.0	8553748.0	1206892002.0	56063348.0	210169564.0	836920141.0	137880004.0
zr3644_12_R1_val_1_val_1_val_1	28948214.0	5563963.0	3041.0	808424.0	3407582.0	12554888.0	12337394.0	61.78970987802642	0.5	0.5	9.9	7252472.0	7277285.0	7203573.0	7211843.0	1014644269.0	46849571.0	171147785.0	712694214.0	114031376.0
zr3644_13_R1_val_1_val_1_val_1	32764601.0	6385203.0	4241.0	993596.0	4173551.0	15711645.0	14153632.0	61.468084346382476	0.5	0.5	10.7	8194850.0	8184122.0	8193960.0	8187428.0	1160796741.0	53303436.0	200977866.0	807570078.0	131370005.0
zr3644_14_R1_val_1_val_1_val_1	22515262.0	4360919.0	2364.0	705306.0	2907256.0	12139072.0	9464680.0	61.955774795759524	0.5	0.5	12.1	5650126.0	5650276.0	5607261.0	5605235.0	793161390.0	36340861.0	137509658.0	551387230.0	88512868.0
zr3644_15_R1_val_1_val_1_val_1	36054469.0	7005597.0	4286.0	1105933.0	4644531.0	18451109.0	15375411.0	61.69962298759023	0.5	0.5	11.4	9007257.0	9001460.0	9022234.0	9019232.0	1273183529.0	58435477.0	220305751.0	885273023.0	143403182.0
zr3644_16_R1_val_1_val_1_val_1	31285722.0	6539579.0	3703.0	925777.0	3855517.0	15057029.0	12561301.0	62.09135118895297	0.5	0.5	10.8	7833818.0	7825361.0	7815069.0	7807771.0	1092880939.0	50386602.0	190492163.0	757781228.0	124769225.0
zr3644_17_R1_val_1_val_1_val_1	35424111.0	7578364.0	4604.0	1093647.0	4560361.0	17184173.0	14427268.0	61.682517019099315	0.5	0.5	10.6	8878358.0	8873766.0	8836986.0	8830397.0	1254819599.0	57429743.0	219807459.0	867822078.0	144351881.0
zr3644_18_R1_val_1_val_1_val_1	31728340.0	6340329.0	4296.0	969958.0	4028886.0	15532499.0	12874754.0	62.28152356389558	0.5	0.5	10.8	7921957.0	7908280.0	7952794.0	7941013.0	1120635638.0	50943423.0	196373738.0	775969708.0	127760849.0
zr3644_19_R1_val_1_val_1_val_1	30051443.0	5952873.0	3637.0	903036.0	3797661.0	14132667.0	12637251.0	61.781403958470335	0.5	0.5	10.5	7516518.0	7514424.0	7506196.0	7510668.0	1058145249.0	48641567.0	184031862.0	734763585.0	120516438.0
