Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
zr3644_10_R1_val_1_val_1_val_1	31710595.0	27894195.0	87.96	3816400.0	12.04
zr3644_11_R1_val_1_val_1_val_1	34266034.0	30199415.0	88.13	4066619.0	11.87
zr3644_12_R1_val_1_val_1_val_1	28945173.0	25658573.0	88.65	3286600.0	11.35
zr3644_13_R1_val_1_val_1_val_1	32760360.0	28778856.0	87.85	3981504.0	12.15
zr3644_14_R1_val_1_val_1_val_1	22512898.0	20107876.0	89.32	2405022.0	10.68
zr3644_15_R1_val_1_val_1_val_1	36050183.0	31726902.0	88.01	4323281.0	11.99
zr3644_16_R1_val_1_val_1_val_1	31282019.0	27410458.0	87.62	3871561.0	12.38
zr3644_17_R1_val_1_val_1_val_1	35419507.0	30969523.0	87.44	4449984.0	12.56
zr3644_18_R1_val_1_val_1_val_1	31724044.0	28161722.0	88.77	3562322.0	11.23
zr3644_19_R1_val_1_val_1_val_1	30047806.0	26814938.0	89.24	3232868.0	10.76
zr3644_1_R1_val_1_val_1_val_1	31684320.0	27716181.0	87.48	3968139.0	12.52
zr3644_20_R1_val_1_val_1_val_1	32485281.0	28553777.0	87.9	3931504.0	12.1
zr3644_21_R1_val_1_val_1_val_1	30928792.0	27320626.0	88.33	3608166.0	11.67
zr3644_22_R1_val_1_val_1_val_1	29160619.0	25736671.0	88.26	3423948.0	11.74
zr3644_23_R1_val_1_val_1_val_1	24718568.0	21853588.0	88.41	2864980.0	11.59
zr3644_24_R1_val_1_val_1_val_1	32475126.0	28564805.0	87.96	3910321.0	12.04
zr3644_2_R1_val_1_val_1_val_1	33610388.0	29344794.0	87.31	4265594.0	12.69
zr3644_3_R1_val_1_val_1_val_1	23802020.0	21326564.0	89.6	2475456.0	10.4
zr3644_4_R1_val_1_val_1_val_1	30290731.0	26727717.0	88.24	3563014.0	11.76
zr3644_5_R1_val_1_val_1_val_1	27059485.0	24112850.0	89.11	2946635.0	10.89
zr3644_6_R1_val_1_val_1_val_1	32880117.0	28863413.0	87.78	4016704.0	12.22
zr3644_7_R1_val_1_val_1_val_1	49802177.0	44057955.0	88.47	5744222.0	11.53
zr3644_8_R1_val_1_val_1_val_1	26004291.0	23158534.0	89.06	2845757.0	10.94
zr3644_9_R1_val_1_val_1_val_1	29238785.0	25551910.0	87.39	3686875.0	12.61
