Sample	Bismark_percent_chg_meth	Bismark_dup_reads_percent	Bismark_percent_aligned	Bismark_aligned_reads	Bismark_total_c	Bismark_dedup_reads	Bismark_percent_chh_meth	Bismark_percent_cpg_meth
zr3644_10_R1_val_1_val_1_val_1	0.5	12.04	61.10473572170949	31715015.0	672970784.0	27894195.0	0.5	10.9
zr3644_11_R1_val_1_val_1_val_1	0.5	11.87	61.12837570813645	34270614.0	726169635.0	30199415.0	0.5	10.6
zr3644_12_R1_val_1_val_1_val_1	0.5	11.35	61.78970987802642	28948214.0	612809937.0	25658573.0	0.5	9.8
zr3644_13_R1_val_1_val_1_val_1	0.5	12.15	61.468084346382476	32764601.0	708901527.0	28778856.0	0.5	10.5
zr3644_14_R1_val_1_val_1_val_1	0.5	10.68	61.955774795759524	22515262.0	486682336.0	20107876.0	0.5	11.9
zr3644_15_R1_val_1_val_1_val_1	0.5	11.99	61.69962298759023	36054469.0	771512030.0	31726902.0	0.5	11.2
zr3644_16_R1_val_1_val_1_val_1	0.5	12.38	62.09135118895297	31285722.0	634507438.0	27410458.0	0.5	10.6
zr3644_17_R1_val_1_val_1_val_1	0.5	12.56	61.682517019099315	35424111.0	750665344.0	30969523.0	0.5	10.5
zr3644_18_R1_val_1_val_1_val_1	0.5	11.23	62.28152356389558	31728340.0	680956547.0	28161722.0	0.5	10.7
zr3644_19_R1_val_1_val_1_val_1	0.5	10.76	61.781403958470335	30051443.0	652076966.0	26814938.0	0.5	10.3
zr3644_1_R1_val_1_val_1_val_1	0.5	12.52	62.140995321144274	31687838.0	656185088.0	27716181.0	0.5	9.7
zr3644_20_R1_val_1_val_1_val_1	0.5	12.1	60.852380211294346	32489129.0	704746106.0	28553777.0	0.5	10.4
zr3644_21_R1_val_1_val_1_val_1	0.5	11.67	61.304531528549255	30932612.0	671295159.0	27320626.0	0.5	10.5
zr3644_22_R1_val_1_val_1_val_1	0.5	11.74	62.02576046616769	29164293.0	628767897.0	25736671.0	0.5	10.5
zr3644_23_R1_val_1_val_1_val_1	0.5	11.59	61.95486103392647	24721544.0	523762933.0	21853588.0	0.5	10.3
zr3644_24_R1_val_1_val_1_val_1	0.5	12.04	62.168141842768875	32479152.0	696581319.0	28564805.0	0.5	10.4
zr3644_2_R1_val_1_val_1_val_1	0.5	12.69	61.0894132535445	33615008.0	734681415.0	29344794.0	0.5	10.3
zr3644_3_R1_val_1_val_1_val_1	0.5	10.4	61.17443128957789	23805179.0	519734226.0	21326564.0	0.5	10.4
zr3644_4_R1_val_1_val_1_val_1	0.5	11.76	61.440738707191834	30294123.0	647545749.0	26727717.0	0.5	10.1
zr3644_5_R1_val_1_val_1_val_1	0.5	10.89	61.38915066391045	27062582.0	589371788.0	24112850.0	0.5	10.5
zr3644_6_R1_val_1_val_1_val_1	0.5	12.22	61.84125743893072	32883973.0	700942212.0	28863413.0	0.5	10.4
zr3644_7_R1_val_1_val_1_val_1	0.5	11.53	61.059931914272006	49808265.0	1077845907.0	44057955.0	0.5	10.6
zr3644_8_R1_val_1_val_1_val_1	0.5	10.94	61.42994122495429	26007499.0	558395155.0	23158534.0	0.5	10.7
zr3644_9_R1_val_1_val_1_val_1	0.5	12.61	61.46689770485415	29242056.0	585196152.0	25551910.0	0.5	10.9
