SeqID,Library_name,sample_number,ploidy,ph
zr3644_10,2N_LOW_04,10,2N,low
zr3644_11,2N_LOW_05,11,2N,low
zr3644_12,2N_LOW_06,12,2N,low
zr3644_13,3N_HI_02,13,3N,high
zr3644_14,3N_HI_03,14,3N,high
zr3644_15,3N_HI_05,15,3N,high
zr3644_16,3N_HI_08,16,3N,high
zr3644_17,3n_HI_10,17,3N,high
zr3644_18,3N_HI_11,18,3N,high
zr3644_19,3N_LOW_06,19,3N,low
zr3644_1,2N_HI_05,1,2N,high
zr3644_20,3N_LOW_07,20,3N,low
zr3644_21,3N_LOW_08,21,3N,low
zr3644_22,3N_LOW_10,22,3N,low
zr3644_23,3N_LOW_11,23,3N,low
zr3644_24,3N_LOW_12,24,3N,low
zr3644_2,2N_HI_08,2,2N,high
zr3644_3,2N_HI_09,3,2N,high
zr3644_4,2N_HI_10,4,2N,high
zr3644_5,2N_HI_11,5,2N,high
zr3644_6,2N_HI_12,6,2N,high
zr3644_7,2N_LOW_01,7,2N,low
zr3644_8,2N_LOW_02,8,2N,low
zr3644_9,2N_LOW_03,9,2N,low
