geneID,numDML
ID=gene-LOC105317478;Dbxref=GeneID:105317478;Name=LOC105317478;gbkey=Gene;gene=LOC105317478;gene_biotype=protein_coding,1
ID=gene-LOC105319276;Dbxref=GeneID:105319276;Name=LOC105319276;gbkey=Gene;gene=LOC105319276;gene_biotype=protein_coding,1
ID=gene-LOC105320306;Dbxref=GeneID:105320306;Name=LOC105320306;gbkey=Gene;gene=LOC105320306;gene_biotype=protein_coding,1
ID=gene-LOC105324542;Dbxref=GeneID:105324542;Name=LOC105324542;gbkey=Gene;gene=LOC105324542;gene_biotype=protein_coding,1
ID=gene-LOC105325917;Dbxref=GeneID:105325917;Name=LOC105325917;gbkey=Gene;gene=LOC105325917;gene_biotype=protein_coding,1
ID=gene-LOC105326839;Dbxref=GeneID:105326839;Name=LOC105326839;gbkey=Gene;gene=LOC105326839;gene_biotype=protein_coding,1
ID=gene-LOC105327032;Dbxref=GeneID:105327032;Name=LOC105327032;gbkey=Gene;gene=LOC105327032;gene_biotype=protein_coding,1
ID=gene-LOC105327226;Dbxref=GeneID:105327226;Name=LOC105327226;gbkey=Gene;gene=LOC105327226;gene_biotype=protein_coding,1
ID=gene-LOC105328191;Dbxref=GeneID:105328191;Name=LOC105328191;gbkey=Gene;gene=LOC105328191;gene_biotype=protein_coding,1
ID=gene-LOC105328665;Dbxref=GeneID:105328665;Name=LOC105328665;gbkey=Gene;gene=LOC105328665;gene_biotype=protein_coding,1
ID=gene-LOC105329024;Dbxref=GeneID:105329024;Name=LOC105329024;gbkey=Gene;gene=LOC105329024;gene_biotype=protein_coding,1
ID=gene-LOC105331136;Dbxref=GeneID:105331136;Name=LOC105331136;gbkey=Gene;gene=LOC105331136;gene_biotype=protein_coding,1
ID=gene-LOC105331539;Dbxref=GeneID:105331539;Name=LOC105331539;gbkey=Gene;gene=LOC105331539;gene_biotype=protein_coding,1
ID=gene-LOC105334244;Dbxref=GeneID:105334244;Name=LOC105334244;gbkey=Gene;gene=LOC105334244;gene_biotype=protein_coding,1
ID=gene-LOC105337762;Dbxref=GeneID:105337762;Name=LOC105337762;gbkey=Gene;gene=LOC105337762;gene_biotype=protein_coding,1
ID=gene-LOC105339753;Dbxref=GeneID:105339753;Name=LOC105339753;gbkey=Gene;gene=LOC105339753;gene_biotype=protein_coding,1
ID=gene-LOC105346475;Dbxref=GeneID:105346475;Name=LOC105346475;gbkey=Gene;gene=LOC105346475;gene_biotype=protein_coding,1
ID=gene-LOC105348590;Dbxref=GeneID:105348590;Name=LOC105348590;gbkey=Gene;gene=LOC105348590;gene_biotype=protein_coding,1
ID=gene-LOC109619902;Dbxref=GeneID:109619902;Name=LOC109619902;gbkey=Gene;gene=LOC109619902;gene_biotype=protein_coding,1
ID=gene-LOC117681859;Dbxref=GeneID:117681859;Name=LOC117681859;gbkey=Gene;gene=LOC117681859;gene_biotype=protein_coding,1
