geneID,numDML
ID=gene-LOC105317846;Dbxref=GeneID:105317846;Name=LOC105317846;gbkey=Gene;gene=LOC105317846;gene_biotype=protein_coding,1
ID=gene-LOC105320145;Dbxref=GeneID:105320145;Name=LOC105320145;gbkey=Gene;gene=LOC105320145;gene_biotype=protein_coding,1
ID=gene-LOC105320748;Dbxref=GeneID:105320748;Name=LOC105320748;gbkey=Gene;gene=LOC105320748;gene_biotype=protein_coding,1
ID=gene-LOC105321186;Dbxref=GeneID:105321186;Name=LOC105321186;gbkey=Gene;gene=LOC105321186;gene_biotype=protein_coding,1
ID=gene-LOC105323223;Dbxref=GeneID:105323223;Name=LOC105323223;gbkey=Gene;gene=LOC105323223;gene_biotype=protein_coding,1
ID=gene-LOC105324542;Dbxref=GeneID:105324542;Name=LOC105324542;gbkey=Gene;gene=LOC105324542;gene_biotype=protein_coding,1
ID=gene-LOC105326266;Dbxref=GeneID:105326266;Name=LOC105326266;gbkey=Gene;gene=LOC105326266;gene_biotype=protein_coding,1
ID=gene-LOC105326385;Dbxref=GeneID:105326385;Name=LOC105326385;gbkey=Gene;gene=LOC105326385;gene_biotype=protein_coding,1
ID=gene-LOC105328731;Dbxref=GeneID:105328731;Name=LOC105328731;gbkey=Gene;gene=LOC105328731;gene_biotype=protein_coding,1
ID=gene-LOC105330929;Dbxref=GeneID:105330929;Name=LOC105330929;gbkey=Gene;gene=LOC105330929;gene_biotype=protein_coding,1
ID=gene-LOC105332240;Dbxref=GeneID:105332240;Name=LOC105332240;gbkey=Gene;gene=LOC105332240;gene_biotype=protein_coding,1
ID=gene-LOC105334771;Dbxref=GeneID:105334771;Name=LOC105334771;gbkey=Gene;gene=LOC105334771;gene_biotype=protein_coding,1
ID=gene-LOC105335524;Dbxref=GeneID:105335524;Name=LOC105335524;gbkey=Gene;gene=LOC105335524;gene_biotype=protein_coding,3
ID=gene-LOC105335660;Dbxref=GeneID:105335660;Name=LOC105335660;gbkey=Gene;gene=LOC105335660;gene_biotype=protein_coding,1
ID=gene-LOC105336185;Dbxref=GeneID:105336185;Name=LOC105336185;gbkey=Gene;gene=LOC105336185;gene_biotype=protein_coding,1
ID=gene-LOC105337008;Dbxref=GeneID:105337008;Name=LOC105337008;gbkey=Gene;gene=LOC105337008;gene_biotype=protein_coding,1
ID=gene-LOC105338195;Dbxref=GeneID:105338195;Name=LOC105338195;gbkey=Gene;gene=LOC105338195;gene_biotype=protein_coding,1
ID=gene-LOC105341203;Dbxref=GeneID:105341203;Name=LOC105341203;gbkey=Gene;gene=LOC105341203;gene_biotype=protein_coding,1
ID=gene-LOC105342164;Dbxref=GeneID:105342164;Name=LOC105342164;gbkey=Gene;gene=LOC105342164;gene_biotype=protein_coding,1
ID=gene-LOC105342982;Dbxref=GeneID:105342982;Name=LOC105342982;gbkey=Gene;gene=LOC105342982;gene_biotype=protein_coding,1
ID=gene-LOC105343420;Dbxref=GeneID:105343420;Name=LOC105343420;gbkey=Gene;gene=LOC105343420;gene_biotype=protein_coding,1
ID=gene-LOC105345244;Dbxref=GeneID:105345244;Name=LOC105345244;gbkey=Gene;gene=LOC105345244;gene_biotype=protein_coding,1
ID=gene-LOC105345532;Dbxref=GeneID:105345532;Name=LOC105345532;gbkey=Gene;gene=LOC105345532;gene_biotype=protein_coding,1
ID=gene-LOC105346771;Dbxref=GeneID:105346771;Name=LOC105346771;gbkey=Gene;gene=LOC105346771;gene_biotype=protein_coding,1
ID=gene-LOC105346952;Dbxref=GeneID:105346952;Name=LOC105346952;gbkey=Gene;gene=LOC105346952;gene_biotype=protein_coding,1
ID=gene-LOC109618506;Dbxref=GeneID:109618506;Name=LOC109618506;gbkey=Gene;gene=LOC109618506;gene_biotype=lncRNA,1
ID=gene-LOC117680698;Dbxref=GeneID:117680698;Name=LOC117680698;gbkey=Gene;gene=LOC117680698;gene_biotype=lncRNA,1
ID=gene-LOC117681338;Dbxref=GeneID:117681338;Name=LOC117681338;gbkey=Gene;gene=LOC117681338;gene_biotype=lncRNA,1
ID=gene-LOC117692682;Dbxref=GeneID:117692682;Name=LOC117692682;gbkey=Gene;gene=LOC117692682;gene_biotype=protein_coding,1
