Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
zr3644_10_R1_val_1_val_1_val_1	561215.0	2356777.0	9214054.0	0.5	0.5	10.6	673820747.0	116411583.0	467786879.0	77490239.0
zr3644_11_R1_val_1_val_1_val_1	603679.0	2547933.0	9664112.0	0.5	0.5	10.4	726425704.0	125099513.0	505094954.0	83415513.0
zr3644_12_R1_val_1_val_1_val_1	477710.0	2009270.0	7330260.0	0.5	0.5	9.7	610362234.0	101729911.0	430278188.0	68536895.0
zr3644_13_R1_val_1_val_1_val_1	593607.0	2492145.0	9295422.0	0.5	0.5	10.3	709843283.0	121573406.0	495036429.0	80852274.0
zr3644_14_R1_val_1_val_1_val_1	424318.0	1747285.0	7212539.0	0.5	0.5	11.6	487571051.0	83542001.0	339836987.0	54807921.0
zr3644_15_R1_val_1_val_1_val_1	654007.0	2746440.0	10807738.0	0.5	0.5	11.1	769374088.0	131603656.0	536564212.0	86998035.0
zr3644_16_R1_val_1_val_1_val_1	523848.0	2191253.0	8466508.0	0.5	0.5	10.4	633174381.0	109136529.0	440132004.0	72724239.0
zr3644_17_R1_val_1_val_1_val_1	640339.0	2667807.0	9962303.0	0.5	0.5	10.2	753684584.0	130678592.0	521958581.0	87776962.0
zr3644_18_R1_val_1_val_1_val_1	578143.0	2394879.0	9100011.0	0.5	0.5	10.4	680992148.0	118029388.0	472616272.0	78273455.0
zr3644_19_R1_val_1_val_1_val_1	541481.0	2285729.0	8400203.0	0.5	0.5	10.1	651191131.0	111985513.0	453365239.0	74612966.0
zr3644_1_R1_val_1_val_1_val_1	524106.0	2189730.0	7963596.0	0.5	0.5	9.5	656669587.0	113434668.0	456458237.0	76099250.0
zr3644_20_R1_val_1_val_1_val_1	602562.0	2495442.0	9167500.0	0.5	0.5	10.2	705659428.0	121093094.0	491453032.0	80847798.0
zr3644_21_R1_val_1_val_1_val_1	558542.0	2324612.0	8813988.0	0.5	0.5	10.3	671280147.0	115125144.0	467752248.0	76705613.0
zr3644_22_R1_val_1_val_1_val_1	535234.0	2223280.0	8270805.0	0.5	0.5	10.2	629662971.0	108957659.0	437048819.0	72627174.0
zr3644_23_R1_val_1_val_1_val_1	439937.0	1843326.0	6800694.0	0.5	0.5	10.1	522829732.0	90190580.0	363233605.0	60321590.0
zr3644_24_R1_val_1_val_1_val_1	585821.0	2448615.0	9100912.0	0.5	0.5	10.2	696432907.0	120216217.0	484060561.0	80020781.0
zr3644_2_R1_val_1_val_1_val_1	599477.0	2528365.0	9415275.0	0.5	0.5	10.0	736774337.0	125621587.0	514227882.0	84381751.0
zr3644_3_R1_val_1_val_1_val_1	422214.0	1778619.0	6749497.0	0.5	0.5	10.2	519959348.0	89085714.0	362343683.0	59579621.0
zr3644_4_R1_val_1_val_1_val_1	512690.0	2115791.0	8134524.0	0.5	0.5	10.0	646265002.0	109727960.0	452210756.0	73563281.0
zr3644_5_R1_val_1_val_1_val_1	489110.0	2043470.0	7645616.0	0.5	0.5	10.2	589669068.0	100804689.0	411717894.0	66968289.0
zr3644_6_R1_val_1_val_1_val_1	580883.0	2442123.0	9060292.0	0.5	0.5	10.2	699334840.0	119729436.0	487897845.0	79624261.0
zr3644_7_R1_val_1_val_1_val_1	892953.0	3753193.0	14181698.0	0.5	0.5	10.4	1078990983.0	183848599.0	754124897.0	122189643.0
zr3644_8_R1_val_1_val_1_val_1	475617.0	1995391.0	7434929.0	0.5	0.5	10.5	555061769.0	95620397.0	385827145.0	63708290.0
zr3644_9_R1_val_1_val_1_val_1	479515.0	2006654.0	8065728.0	0.5	0.5	10.7	583047386.0	101006647.0	404250920.0	67237922.0
