Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
zr3644_10_R1_val_1_val_1_val_1	31449874.0	8405938.0	103.0	940915.0	3919549.0	15618471.0	12046900.0	60.593893436628136	0.5	0.5	10.7	7846348.0	7807411.0	7915375.0	7880637.0	1115773727.0	51902712.0	194787000.0	770112067.0	130395725.0
zr3644_11_R1_val_1_val_1_val_1	33950348.0	9094792.0	112.0	1009426.0	4229214.0	16333777.0	13018208.0	60.55711835119087	0.5	0.5	10.5	8509872.0	8484562.0	8492343.0	8463459.0	1200110470.0	56063348.0	208783817.0	829874970.0	139879266.0
zr3644_12_R1_val_1_val_1_val_1	28579240.0	7443272.0	114.0	794788.0	3327340.0	12372696.0	10827059.0	61.00213809855377	0.5	0.5	9.8	7169686.0	7173632.0	7123770.0	7112038.0	1002502546.0	46849571.0	168647208.0	703788166.0	113572348.0
zr3644_13_R1_val_1_val_1_val_1	32491207.0	8393508.0	185.0	978549.0	4080737.0	15463701.0	12418721.0	60.95518307675325	0.5	0.5	10.4	8130289.0	8117046.0	8132091.0	8111596.0	1155305305.0	53303436.0	199756716.0	801606626.0	133418976.0
zr3644_14_R1_val_1_val_1_val_1	22341478.0	5815579.0	79.0	694010.0	2844733.0	11967003.0	8183804.0	61.47756928488843	0.5	0.5	11.8	5618114.0	5596286.0	5574196.0	5552803.0	788907403.0	36340861.0	136421293.0	547431874.0	89548490.0
zr3644_15_R1_val_1_val_1_val_1	35609199.0	9369895.0	206.0	1085026.0	4528243.0	18139805.0	13456383.0	60.93763725074067	0.5	0.5	11.2	8907048.0	8885262.0	8916412.0	8900271.0	1260311301.0	58435477.0	217607400.0	874864005.0	144086822.0
zr3644_16_R1_val_1_val_1_val_1	30924916.0	8506249.0	134.0	907536.0	3766929.0	14831216.0	10955437.0	61.37527591164016	0.5	0.5	10.5	7749791.0	7730844.0	7729468.0	7714679.0	1084479570.0	50386602.0	188794776.0	749730392.0	126448721.0
zr3644_17_R1_val_1_val_1_val_1	35252677.0	9655985.0	164.0	1080223.0	4465430.0	16913211.0	12521081.0	61.38400619344579	0.5	0.5	10.1	8852263.0	8819837.0	8807061.0	8773352.0	1257976076.0	57429743.0	220480977.0	864976470.0	150059765.0
zr3644_18_R1_val_1_val_1_val_1	31468183.0	8218885.0	180.0	959631.0	3950285.0	15247444.0	11256355.0	61.77084527672984	0.5	0.5	10.5	7858680.0	7843653.0	7891853.0	7873817.0	1116445364.0	50943423.0	195471883.0	770315311.0	130500810.0
zr3644_19_R1_val_1_val_1_val_1	29709816.0	7899897.0	136.0	885885.0	3714128.0	13871848.0	11031854.0	61.0790684436626	0.5	0.5	10.2	7443202.0	7419329.0	7439743.0	7407406.0	1049309911.0	48641567.0	182184732.0	726881959.0	121771359.0
zr3644_1_R1_val_1_val_1_val_1	31434721.0	8424678.0	115.0	897841.0	3720045.0	13763919.0	11134052.0	61.64462373805609	0.5	0.5	9.5	7818927.0	7795639.0	7928705.0	7891335.0	1113134972.0	50993451.0	194126289.0	769279216.0	131347662.0
zr3644_20_R1_val_1_val_1_val_1	32235145.0	8360126.0	150.0	982190.0	4048786.0	15227780.0	12794800.0	60.37666629062921	0.5	0.5	10.3	8364216.0	8341465.0	7776297.0	7753017.0	1143360567.0	53390071.0	198046482.0	792467936.0	132587393.0
zr3644_21_R1_val_1_val_1_val_1	30628245.0	8026127.0	99.0	914023.0	3783477.0	14616250.0	11802929.0	60.70131456298069	0.5	0.5	10.4	7661942.0	7641249.0	7672683.0	7652272.0	1084406446.0	50457301.0	187840703.0	751825592.0	125426401.0
zr3644_22_R1_val_1_val_1_val_1	28927483.0	7604837.0	126.0	888058.0	3664744.0	13865332.0	10487326.0	61.52211992408449	0.5	0.5	10.3	7265217.0	7245331.0	7218306.0	7198503.0	1030634534.0	47019646.0	180106800.0	711480437.0	120629163.0
zr3644_23_R1_val_1_val_1_val_1	24454569.0	6604805.0	117.0	736417.0	3067998.0	11512912.0	8843135.0	61.2857928307215	0.5	0.5	10.2	6097096.0	6076316.0	6152321.0	6128719.0	864632731.0	39902509.0	150569820.0	597688577.0	101057007.0
zr3644_24_R1_val_1_val_1_val_1	32160291.0	8450655.0	149.0	973409.0	4046223.0	15276450.0	11633099.0	61.55781199560639	0.5	0.5	10.3	8050376.0	8028667.0	8051555.0	8029544.0	1144875434.0	52244045.0	199450694.0	791803716.0	133324942.0
zr3644_2_R1_val_1_val_1_val_1	33388393.0	8665462.0	120.0	983606.0	4120629.0	15540506.0	12972059.0	60.67758002166034	0.5	0.5	10.0	8363956.0	8319972.0	8375892.0	8328453.0	1195501862.0	55025914.0	205694628.0	829891857.0	139270636.0
zr3644_3_R1_val_1_val_1_val_1	23587627.0	6276061.0	93.0	686982.0	2878096.0	11075871.0	9049921.0	60.61536723566297	0.5	0.5	10.3	5918738.0	5901456.0	5899833.0	5867507.0	836335042.0	38913609.0	144520452.0	580247503.0	96926138.0
zr3644_4_R1_val_1_val_1_val_1	29947855.0	7988902.0	134.0	850507.0	3492407.0	13679546.0	11369491.0	60.7384585418059	0.5	0.5	10.1	7478087.0	7474853.0	7504983.0	7489798.0	1061581694.0	49306248.0	181799911.0	739806515.0	121952808.0
zr3644_5_R1_val_1_val_1_val_1	26804023.0	7001527.0	112.0	797225.0	3315787.0	12628932.0	10278106.0	60.80263170550101	0.5	0.5	10.4	6756378.0	6738674.0	6663025.0	6645834.0	952207866.0	44083656.0	164227970.0	661940194.0	109297758.0
zr3644_6_R1_val_1_val_1_val_1	32472179.0	8582316.0	143.0	967631.0	4043361.0	15245582.0	12120318.0	61.066841927587035	0.5	0.5	10.3	8123747.0	8099104.0	8136730.0	8112455.0	1151670653.0	53174813.0	198821271.0	800065486.0	132527322.0
zr3644_7_R1_val_1_val_1_val_1	49340377.0	12884548.0	198.0	1465330.0	6122809.0	23524583.0	19347824.0	60.48634820434947	0.5	0.5	10.5	12348540.0	12320256.0	12349875.0	12321508.0	1748557586.0	81572749.0	300747271.0	1216223214.0	200474379.0
zr3644_8_R1_val_1_val_1_val_1	25613542.0	6988980.0	94.0	784334.0	3275170.0	12408006.0	9734323.0	60.4994113283595	0.5	0.5	10.6	6413525.0	6394526.0	6413834.0	6391563.0	906146238.0	42336845.0	157449282.0	627047392.0	105182054.0
zr3644_9_R1_val_1_val_1_val_1	28850286.0	8283268.0	125.0	839909.0	3477936.0	14341155.0	10440111.0	60.64339587879134	0.5	0.5	10.8	7192356.0	7171624.0	7249337.0	7236844.0	1009343213.0	47573665.0	176689558.0	695882244.0	118112411.0
