Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
zr3644_10_R1_val_1_val_1_val_1	31449771.0	27724085.0	88.15	3725686.0	11.85
zr3644_11_R1_val_1_val_1_val_1	33950236.0	29999792.0	88.36	3950444.0	11.64
zr3644_12_R1_val_1_val_1_val_1	28579126.0	25427638.0	88.97	3151488.0	11.03
zr3644_13_R1_val_1_val_1_val_1	32491022.0	28613670.0	88.07	3877352.0	11.93
zr3644_14_R1_val_1_val_1_val_1	22341399.0	20014759.0	89.59	2326640.0	10.41
zr3644_15_R1_val_1_val_1_val_1	35608993.0	31449079.0	88.32	4159914.0	11.68
zr3644_16_R1_val_1_val_1_val_1	30924782.0	27159851.0	87.83	3764931.0	12.17
zr3644_17_R1_val_1_val_1_val_1	35252513.0	30818320.0	87.42	4434193.0	12.58
zr3644_18_R1_val_1_val_1_val_1	31468003.0	27964963.0	88.87	3503040.0	11.13
zr3644_19_R1_val_1_val_1_val_1	29709680.0	26595143.0	89.52	3114537.0	10.48
zr3644_1_R1_val_1_val_1_val_1	31434606.0	27517298.0	87.54	3917308.0	12.46
zr3644_20_R1_val_1_val_1_val_1	32234995.0	28396232.0	88.09	3838763.0	11.91
zr3644_21_R1_val_1_val_1_val_1	30628146.0	27142162.0	88.62	3485984.0	11.38
zr3644_22_R1_val_1_val_1_val_1	28927357.0	25586704.0	88.45	3340653.0	11.55
zr3644_23_R1_val_1_val_1_val_1	24454452.0	21664232.0	88.59	2790220.0	11.41
zr3644_24_R1_val_1_val_1_val_1	32160142.0	28366652.0	88.2	3793490.0	11.8
zr3644_2_R1_val_1_val_1_val_1	33388273.0	29196594.0	87.45	4191679.0	12.55
zr3644_3_R1_val_1_val_1_val_1	23587534.0	21186405.0	89.82	2401129.0	10.18
zr3644_4_R1_val_1_val_1_val_1	29947721.0	26518997.0	88.55	3428724.0	11.45
zr3644_5_R1_val_1_val_1_val_1	26803911.0	23962432.0	89.4	2841479.0	10.6
zr3644_6_R1_val_1_val_1_val_1	32472036.0	28610892.0	88.11	3861144.0	11.89
zr3644_7_R1_val_1_val_1_val_1	49340179.0	43826281.0	88.82	5513898.0	11.18
zr3644_8_R1_val_1_val_1_val_1	25613448.0	22869748.0	89.29	2743700.0	10.71
zr3644_9_R1_val_1_val_1_val_1	28850161.0	25288521.0	87.65	3561640.0	12.35
