Sample	Bismark_percent_aligned	Bismark_total_c	Bismark_dup_reads_percent	Bismark_dedup_reads	Bismark_aligned_reads	Bismark_percent_cpg_meth	Bismark_percent_chg_meth	Bismark_percent_chh_meth
zr3644_10_R1_val_1_val_1_val_1	60.593893436628136	673820747.0	11.85	27724085.0	31449874.0	10.6	0.5	0.5
zr3644_11_R1_val_1_val_1_val_1	60.55711835119087	726425704.0	11.64	29999792.0	33950348.0	10.4	0.5	0.5
zr3644_12_R1_val_1_val_1_val_1	61.00213809855377	610362234.0	11.03	25427638.0	28579240.0	9.7	0.5	0.5
zr3644_13_R1_val_1_val_1_val_1	60.95518307675325	709843283.0	11.93	28613670.0	32491207.0	10.3	0.5	0.5
zr3644_14_R1_val_1_val_1_val_1	61.47756928488843	487571051.0	10.41	20014759.0	22341478.0	11.6	0.5	0.5
zr3644_15_R1_val_1_val_1_val_1	60.93763725074067	769374088.0	11.68	31449079.0	35609199.0	11.1	0.5	0.5
zr3644_16_R1_val_1_val_1_val_1	61.37527591164016	633174381.0	12.17	27159851.0	30924916.0	10.4	0.5	0.5
zr3644_17_R1_val_1_val_1_val_1	61.38400619344579	753684584.0	12.58	30818320.0	35252677.0	10.2	0.5	0.5
zr3644_18_R1_val_1_val_1_val_1	61.77084527672984	680992148.0	11.13	27964963.0	31468183.0	10.4	0.5	0.5
zr3644_19_R1_val_1_val_1_val_1	61.0790684436626	651191131.0	10.48	26595143.0	29709816.0	10.1	0.5	0.5
zr3644_1_R1_val_1_val_1_val_1	61.64462373805609	656669587.0	12.46	27517298.0	31434721.0	9.5	0.5	0.5
zr3644_20_R1_val_1_val_1_val_1	60.37666629062921	705659428.0	11.91	28396232.0	32235145.0	10.2	0.5	0.5
zr3644_21_R1_val_1_val_1_val_1	60.70131456298069	671280147.0	11.38	27142162.0	30628245.0	10.3	0.5	0.5
zr3644_22_R1_val_1_val_1_val_1	61.52211992408449	629662971.0	11.55	25586704.0	28927483.0	10.2	0.5	0.5
zr3644_23_R1_val_1_val_1_val_1	61.2857928307215	522829732.0	11.41	21664232.0	24454569.0	10.1	0.5	0.5
zr3644_24_R1_val_1_val_1_val_1	61.55781199560639	696432907.0	11.8	28366652.0	32160291.0	10.2	0.5	0.5
zr3644_2_R1_val_1_val_1_val_1	60.67758002166034	736774337.0	12.55	29196594.0	33388393.0	10.0	0.5	0.5
zr3644_3_R1_val_1_val_1_val_1	60.61536723566297	519959348.0	10.18	21186405.0	23587627.0	10.2	0.5	0.5
zr3644_4_R1_val_1_val_1_val_1	60.7384585418059	646265002.0	11.45	26518997.0	29947855.0	10.0	0.5	0.5
zr3644_5_R1_val_1_val_1_val_1	60.80263170550101	589669068.0	10.6	23962432.0	26804023.0	10.2	0.5	0.5
zr3644_6_R1_val_1_val_1_val_1	61.066841927587035	699334840.0	11.89	28610892.0	32472179.0	10.2	0.5	0.5
zr3644_7_R1_val_1_val_1_val_1	60.48634820434947	1078990983.0	11.18	43826281.0	49340377.0	10.4	0.5	0.5
zr3644_8_R1_val_1_val_1_val_1	60.4994113283595	555061769.0	10.71	22869748.0	25613542.0	10.5	0.5	0.5
zr3644_9_R1_val_1_val_1_val_1	60.64339587879134	583047386.0	12.35	25288521.0	28850286.0	10.7	0.5	0.5
