"","O01","O04","O06","O10","O100","O101","O102","O103","O106","O118","O121","O122","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O49","O51","O52","O56","O64","O71","O78","O90","O91","O96","O99"
" ELGLNNDITNMNGGAIALGHPLAASGTR y10",0.0009040165,0.0003258585,0,0,0,0.0006613535,0,0,0.0005885255,0.0007352005,0,0,0.001032561,0,0.0006271675,0.0006830735,0,0.0011505365,0,0,0.000507908,0.00043687,0,0,0.0008424975,0.0006719265,0,0,0,0,0,0,0,0.000402312,0,0,0,0,0,0.000348625,0,0.0005803975,0
" ELGLNNDITNMNGGAIALGHPLAASGTR y12",0.0006240165,0.000254548,0,0.0003313475,0,0,0.0003756285,0,0.0004843475,0,0.000486393,0,0,0,0.000356563,0.000456417,0,0,0,0,0,0,0,0,0,0.0004577265,0,0,0.0004714055,0,0,0,0,0,0,0,0.0003806825,0,0.0005670105,0,0,0.000358057,0
" ELGLNNDITNMNGGAIALGHPLAASGTR y8",0,0,0,0,0,0.0011802855,0,0,0.001016323,0,0,0,0.001682322,0,0,0,0,0,0,0.00179959,0.0008134035,0,0,0,0,0.0012308075,0,0.0009171985,0,0.001167121,0.0008702925,0.001188245,0,0.0007025615,0,0,0,0,0.001316301,0.0006439395,0.0014350315,0,0.001098465
" ITGHLAHELQR y5",0,0.0004146825,0,0.000495032,0,0,0.000566123,0,0,0,0.0009205165,0,0.0007893775,0,0,0.000380843,0,0.001207353,0,0,0,0.00037045,0.000534505,0,0,0,0,0,0,0,0.00023481,0,0,0,0,0,0,0,0,0.0001249535,0,0,0
" ITGHLAHELQR y6",0.00144781,0,0.0008565625,0.0013005975,0,0.001250661,0.001391334,0,0,0,0.002370683,0,0,0,0.0011939105,0,0,0.002709229,0,0,0.000839457,0,0,0,0.0009288205,0,0,0,0,0.0011041425,0.0006393545,0,0,0,0,0.0013438125,0.001318342,0,0,0,0,0.0009131505,0
" ITGHLAHELQR y7",0.0009771545,0.0008141395,0,0.0009090465,0,0.00097983,0,0,0,0.0009660445,0.001795484,0,0,0,0,0,0,0.001997811,0,0.0010330895,0,0,0,0,0.000674501,0.000941868,0,0,0,0,0,0.0006321465,0,0.000651734,0,0.0008628775,0,0,0,0.0002866665,0.0011641205,0.000675301,0
" QYNLTPLAR y4",0.0086262175,0,0,0.0049598575,0.0045659575,0.007367888,0,0,0.007637018,0.008553596,0.012340112,0,0.0033837245,0,0,0,0,0.0125972325,0,0.0060706975,0.0055336895,0.0039912025,0,0,0.002739788,0.009166647,0.004126774,0.007671722,0,0.004887219,0,0.0048788915,0,0.0035454845,0,0.0043588035,0.008956712,0,0,0.0014859905,0,0.002069775,0.002304254
" QYNLTPLAR y5",0.0082540985,0,0.0018395645,0.004792787,0,0.007137191,0,0,0.0075591335,0.0085962465,0.0118884565,0,0.003142134,0,0.0062331835,0,0,0.0128642375,0,0.006216312,0.0058994485,0.004096951,0.00459103,0.0042563,0,0,0.004190788,0.00733394,0.010943417,0.0045964975,0.005417029,0.0046244485,0,0.0038619615,0,0,0,0,0.010479108,0,0,0,0.002483637
" QYNLTPLAR y6",0.003837342,0.0016642615,0,0.0020192245,0,0,0,0,0.0031410515,0.003568795,0.005173854,0,0,0,0.002899281,0.0020468185,0,0.0055553855,0,0.0027704905,0,0.00181985,0.0021458495,0,0,0,0,0,0.0043599225,0.0019108365,0,0.0021913575,0,0.0015597035,0,0,0,0,0,0.0006917365,0,0.001049987,0.001075945
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y4",0.0117465455,0,0,0.010419823,0,0,0,0,0.0108731285,0,0.018355568,0,0,0,0.011577906,0,0,0,0,0,0.0079421355,0,0,0.0104016955,0,0,0,0,0,0,0.008365775,0,0,0.00695021,0,0.0085240375,0,0,0,0.005865128,0,0.0070249265,0
